MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,AL,88.26,11.74,8.52,3.48,0.00,0.00,2020-06-02,2020-06-08,1
20200526,AL,82.60,17.40,8.50,3.48,0.00,0.00,2020-05-26,2020-06-01,1
20200519,AL,81.49,18.51,8.50,3.48,0.00,0.00,2020-05-19,2020-05-25,1
20200512,AL,81.89,18.11,7.60,3.28,0.00,0.00,2020-05-12,2020-05-18,1
20200505,AL,90.89,9.11,3.66,0.50,0.00,0.00,2020-05-05,2020-05-11,1
20200428,AL,91.35,8.65,3.59,0.50,0.00,0.00,2020-04-28,2020-05-04,1
20200421,AL,89.17,10.83,3.59,0.50,0.00,0.00,2020-04-21,2020-04-27,1
20200414,AL,73.98,26.02,3.59,0.34,0.00,0.00,2020-04-14,2020-04-20,1
20200407,AL,60.95,39.05,3.60,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,AL,88.90,11.10,3.43,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,AL,91.34,8.66,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,AL,91.56,8.44,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,AL,92.42,7.58,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,AL,99.53,0.47,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,AL,99.53,0.47,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,AL,99.49,0.51,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,AL,99.49,0.51,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,AL,87.10,12.90,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,AL,88.18,11.82,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,AL,95.28,4.72,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,AL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,AL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,AL,78.02,21.98,0.84,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,AL,67.58,32.42,4.56,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,AL,70.39,29.61,2.43,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,AL,79.12,20.88,2.02,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,AL,76.35,23.65,2.46,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,AL,70.26,29.74,8.38,0.81,0.00,0.00,2019-11-12,2019-11-18,1
20191105,AL,56.34,43.66,27.57,7.08,0.00,0.00,2019-11-05,2019-11-11,1
20191029,AL,38.30,61.70,39.63,16.51,1.43,0.00,2019-10-29,2019-11-04,1
20191022,AL,25.68,74.32,52.27,20.96,5.27,0.00,2019-10-22,2019-10-28,1
20191015,AL,9.44,90.56,57.51,34.96,7.79,0.00,2019-10-15,2019-10-21,1
20191008,AL,8.50,91.50,54.08,14.45,5.39,0.00,2019-10-08,2019-10-14,1
20191001,AL,0.00,100.00,35.36,11.99,3.54,0.00,2019-10-01,2019-10-07,1
20190924,AL,17.27,82.73,30.18,4.88,0.20,0.00,2019-09-24,2019-09-30,1
20190917,AL,52.39,47.61,13.86,1.09,0.00,0.00,2019-09-17,2019-09-23,1
20190910,AL,69.52,30.48,8.21,1.09,0.00,0.00,2019-09-10,2019-09-16,1
20190903,AL,72.60,27.40,5.33,1.09,0.00,0.00,2019-09-03,2019-09-09,1
20190827,AL,66.04,33.96,10.78,1.53,0.00,0.00,2019-08-27,2019-09-02,1
20190820,AL,52.47,47.53,12.56,1.90,0.00,0.00,2019-08-20,2019-08-26,1
20190813,AL,61.46,38.54,12.79,2.63,0.00,0.00,2019-08-13,2019-08-19,1
20190806,AL,66.15,33.85,11.75,2.45,0.00,0.00,2019-08-06,2019-08-12,1
20190730,AL,61.32,38.68,13.41,4.27,0.00,0.00,2019-07-30,2019-08-05,1
20190723,AL,68.21,31.79,11.01,4.27,0.00,0.00,2019-07-23,2019-07-29,1
20190716,AL,60.50,39.50,10.57,3.68,0.00,0.00,2019-07-16,2019-07-22,1
20190709,AL,54.56,45.44,10.37,2.88,0.00,0.00,2019-07-09,2019-07-15,1
20190702,AL,59.66,40.34,7.97,2.12,0.00,0.00,2019-07-02,2019-07-08,1
20190625,AL,56.55,43.45,7.93,2.59,0.00,0.00,2019-06-25,2019-07-01,1
20190618,AL,63.96,36.04,11.33,1.81,0.00,0.00,2019-06-18,2019-06-24,1
20190611,AL,65.63,34.37,11.33,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,AL,55.23,44.77,14.12,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,AL,56.16,43.84,7.36,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,AL,76.68,23.32,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,AL,86.52,13.48,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,AL,81.33,18.67,10.83,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,AL,79.32,20.68,10.71,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,AL,74.89,25.11,11.23,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,AL,59.59,40.41,20.27,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,AL,56.75,43.25,30.25,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,AL,56.72,43.28,16.47,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,AL,65.20,34.80,1.06,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,AL,95.53,4.47,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,AL,97.22,2.78,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,AL,96.47,3.53,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,AL,87.63,12.37,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,AL,78.48,21.52,0.22,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,AL,81.32,18.68,0.22,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,AL,82.30,17.70,0.67,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,AL,87.47,12.53,0.14,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,AL,62.25,37.75,7.95,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,AL,65.20,34.80,8.13,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,AL,79.38,20.62,3.94,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,AL,79.37,20.63,1.66,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,AL,87.99,12.01,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,AL,91.06,8.94,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,AL,88.83,11.17,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,AL,91.13,8.87,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,AL,77.27,22.73,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,AL,99.44,0.56,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,AL,99.87,0.13,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,AL,97.20,2.80,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,AL,96.31,3.69,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,AL,90.94,9.06,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,AL,90.46,9.54,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,AL,93.10,6.90,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,AL,92.49,7.51,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,AL,89.17,10.83,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,AL,66.04,33.96,1.94,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,AL,60.10,39.90,7.34,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,AL,67.91,32.09,2.64,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,AL,73.05,26.95,2.64,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,AL,75.37,24.63,2.64,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,AL,77.01,22.99,2.64,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,AL,59.53,40.47,13.94,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,AL,54.39,45.61,18.90,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,AL,51.25,48.75,20.55,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,AL,65.93,34.07,17.28,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,AL,68.39,31.61,17.28,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,AL,55.16,44.84,17.26,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,AL,48.01,51.99,20.68,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,AL,36.40,63.60,24.72,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,AL,12.64,87.36,37.92,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,AL,0.00,100.00,86.02,39.67,0.00,0.00,2018-02-06,2018-02-12,1
20180130,AL,0.00,100.00,86.90,46.37,2.71,0.00,2018-01-30,2018-02-05,1
20180123,AL,0.00,100.00,77.10,19.02,0.00,0.00,2018-01-23,2018-01-29,1
20180116,AL,7.21,92.79,60.63,6.50,0.00,0.00,2018-01-16,2018-01-22,1
20180109,AL,10.45,89.55,53.31,0.49,0.00,0.00,2018-01-09,2018-01-15,1
20180102,AL,19.01,80.99,26.60,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,AL,38.82,61.18,16.85,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,AL,29.35,70.65,18.40,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,AL,34.20,65.80,17.81,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,AL,34.87,65.13,13.32,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,AL,34.91,65.09,13.25,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,AL,74.05,25.95,9.20,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,AL,83.26,16.74,0.54,0.00,0.00,0.00,2017-11-14,2017-11-20,1
