MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,HI,33.35,66.65,33.87,1.24,0.00,0.00,2020-06-02,2020-06-08,1
20200526,HI,8.28,91.72,6.91,0.61,0.00,0.00,2020-05-26,2020-06-01,1
20200519,HI,8.28,91.72,3.32,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,HI,86.75,13.25,1.57,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,HI,93.12,6.88,0.81,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,HI,93.12,6.88,0.81,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,HI,94.74,5.26,0.53,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,HI,94.37,5.63,1.14,0.28,0.00,0.00,2020-04-14,2020-04-20,1
20200407,HI,92.69,7.31,1.14,0.28,0.00,0.00,2020-04-07,2020-04-13,1
20200331,HI,89.54,10.46,3.06,0.56,0.00,0.00,2020-03-31,2020-04-06,1
20200324,HI,89.54,10.46,3.06,0.56,0.00,0.00,2020-03-24,2020-03-30,1
20200317,HI,89.54,10.46,3.06,0.56,0.00,0.00,2020-03-17,2020-03-23,1
20200310,HI,88.73,11.27,3.06,0.56,0.00,0.00,2020-03-10,2020-03-16,1
20200303,HI,91.65,8.35,3.06,0.56,0.00,0.00,2020-03-03,2020-03-09,1
20200225,HI,91.65,8.35,3.06,0.56,0.00,0.00,2020-02-25,2020-03-02,1
20200218,HI,89.06,10.94,4.61,2.05,0.00,0.00,2020-02-18,2020-02-24,1
20200211,HI,87.03,12.97,6.11,2.42,0.00,0.00,2020-02-11,2020-02-17,1
20200204,HI,87.10,12.90,6.24,2.42,0.00,0.00,2020-02-04,2020-02-10,1
20200128,HI,84.96,15.04,8.10,4.13,0.00,0.00,2020-01-28,2020-02-03,1
20200121,HI,84.47,15.53,9.25,4.77,0.39,0.00,2020-01-21,2020-01-27,1
20200114,HI,81.16,18.84,12.17,5.83,0.39,0.00,2020-01-14,2020-01-20,1
20200107,HI,49.80,50.20,17.16,6.85,0.39,0.22,2020-01-07,2020-01-13,1
20191231,HI,36.78,63.22,17.58,6.66,0.99,0.22,2019-12-31,2020-01-06,1
20191224,HI,36.78,63.22,17.58,6.66,0.99,0.22,2019-12-24,2019-12-30,1
20191217,HI,36.78,63.22,17.58,6.66,0.99,0.22,2019-12-17,2019-12-23,1
20191210,HI,35.97,64.03,17.50,6.70,0.99,0.22,2019-12-10,2019-12-16,1
20191203,HI,35.48,64.52,16.35,7.41,0.83,0.00,2019-12-03,2019-12-09,1
20191126,HI,30.92,69.08,16.44,9.35,1.04,0.00,2019-11-26,2019-12-02,1
20191119,HI,8.20,91.80,15.24,9.35,1.04,0.00,2019-11-19,2019-11-25,1
20191112,HI,76.27,23.73,15.24,9.35,1.04,0.00,2019-11-12,2019-11-18,1
20191105,HI,76.27,23.73,15.24,9.35,1.04,0.00,2019-11-05,2019-11-11,1
20191029,HI,73.21,26.79,14.92,8.71,1.10,0.00,2019-10-29,2019-11-04,1
20191022,HI,73.21,26.79,14.92,8.71,1.10,0.00,2019-10-22,2019-10-28,1
20191015,HI,73.21,26.79,14.92,8.71,1.10,0.00,2019-10-15,2019-10-21,1
20191008,HI,72.64,27.36,14.10,6.45,1.04,0.00,2019-10-08,2019-10-14,1
20191001,HI,62.03,37.97,17.85,6.15,1.55,0.00,2019-10-01,2019-10-07,1
20190924,HI,62.03,37.97,17.85,6.15,1.52,0.00,2019-09-24,2019-09-30,1
20190917,HI,58.14,41.86,18.99,6.11,1.52,0.00,2019-09-17,2019-09-23,1
20190910,HI,60.03,39.97,16.99,3.59,1.16,0.00,2019-09-10,2019-09-16,1
20190903,HI,48.79,51.21,21.67,3.88,1.16,0.00,2019-09-03,2019-09-09,1
20190827,HI,40.71,59.29,21.67,5.00,1.16,0.00,2019-08-27,2019-09-02,1
20190820,HI,43.69,56.31,18.36,5.04,1.16,0.00,2019-08-20,2019-08-26,1
20190813,HI,43.21,56.79,16.03,4.44,0.93,0.00,2019-08-13,2019-08-19,1
20190806,HI,43.21,56.79,16.03,4.44,0.93,0.00,2019-08-06,2019-08-12,1
20190730,HI,31.01,68.99,28.69,4.13,1.24,0.00,2019-07-30,2019-08-05,1
20190723,HI,31.01,68.99,28.69,4.13,1.24,0.00,2019-07-23,2019-07-29,1
20190716,HI,28.50,71.50,28.69,3.72,0.94,0.00,2019-07-16,2019-07-22,1
20190709,HI,21.84,78.16,31.20,3.10,0.94,0.00,2019-07-09,2019-07-15,1
20190702,HI,32.82,67.18,43.30,3.76,0.94,0.00,2019-07-02,2019-07-08,1
20190625,HI,26.02,73.98,48.08,5.64,0.94,0.00,2019-06-25,2019-07-01,1
20190618,HI,26.02,73.98,48.08,5.64,0.94,0.00,2019-06-18,2019-06-24,1
20190611,HI,26.02,73.98,48.08,5.64,0.94,0.00,2019-06-11,2019-06-17,1
20190604,HI,7.61,92.39,55.12,4.77,0.73,0.00,2019-06-04,2019-06-10,1
20190528,HI,7.61,92.39,55.12,4.77,0.73,0.00,2019-05-28,2019-06-03,1
20190521,HI,9.70,90.30,44.64,3.18,0.00,0.00,2019-05-21,2019-05-27,1
20190514,HI,28.58,71.42,23.53,3.18,0.00,0.00,2019-05-14,2019-05-20,1
20190507,HI,28.58,71.42,23.53,3.18,0.00,0.00,2019-05-07,2019-05-13,1
20190430,HI,20.36,79.64,37.14,3.59,0.00,0.00,2019-04-30,2019-05-06,1
20190423,HI,20.50,79.50,30.18,0.52,0.00,0.00,2019-04-23,2019-04-29,1
20190416,HI,20.50,79.50,30.18,0.52,0.00,0.00,2019-04-16,2019-04-22,1
20190409,HI,3.48,96.52,30.18,0.52,0.00,0.00,2019-04-09,2019-04-15,1
20190402,HI,3.43,96.57,15.73,0.48,0.00,0.00,2019-04-02,2019-04-08,1
20190326,HI,1.18,98.82,1.21,0.48,0.00,0.00,2019-03-26,2019-04-01,1
20190319,HI,97.23,2.77,1.21,0.48,0.00,0.00,2019-03-19,2019-03-25,1
20190312,HI,95.81,4.19,0.59,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,HI,65.78,34.22,0.59,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,HI,52.55,47.45,30.48,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,HI,28.60,71.40,37.23,4.64,0.00,0.00,2019-02-19,2019-02-25,1
20190212,HI,15.05,84.95,69.46,7.55,0.00,0.00,2019-02-12,2019-02-18,1
20190205,HI,15.05,84.95,67.04,3.29,0.00,0.00,2019-02-05,2019-02-11,1
20190129,HI,0.00,100.00,39.02,1.52,0.00,0.00,2019-01-29,2019-02-04,1
20190122,HI,53.91,46.09,36.65,1.01,0.00,0.00,2019-01-22,2019-01-28,1
20190115,HI,53.91,46.09,36.65,1.01,0.00,0.00,2019-01-15,2019-01-21,1
20190108,HI,55.77,44.23,36.83,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,HI,57.03,42.97,4.57,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,HI,57.03,42.97,4.57,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,HI,57.03,42.97,4.57,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,HI,58.62,41.38,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,HI,58.62,41.38,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,HI,98.64,1.36,0.00,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,HI,95.97,4.03,1.36,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,HI,95.97,4.03,1.36,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,HI,87.49,12.51,3.46,1.27,0.00,0.00,2018-09-18,2018-09-24,1
20180911,HI,60.90,39.10,12.80,1.27,0.00,0.00,2018-09-11,2018-09-17,1
20180904,HI,59.20,40.80,31.54,4.46,0.00,0.00,2018-09-04,2018-09-10,1
20180828,HI,54.38,45.62,35.75,5.46,0.00,0.00,2018-08-28,2018-09-03,1
20180821,HI,44.69,55.31,35.73,5.49,0.00,0.00,2018-08-21,2018-08-27,1
20180814,HI,45.24,54.76,34.44,4.01,0.00,0.00,2018-08-14,2018-08-20,1
20180807,HI,45.24,54.76,34.44,4.01,0.00,0.00,2018-08-07,2018-08-13,1
20180731,HI,47.32,52.68,30.93,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,HI,47.32,52.68,30.93,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,HI,47.32,52.68,27.95,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,HI,47.32,52.68,2.49,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,HI,69.34,30.66,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,HI,69.34,30.66,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,HI,79.22,20.78,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,HI,79.22,20.78,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,HI,79.22,20.78,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,HI,79.22,20.78,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,HI,100.00,0.00,0.00,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,HI,95.50,4.50,0.00,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,HI,62.25,37.75,4.68,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,HI,56.69,43.31,7.43,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,HI,49.75,50.25,4.31,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,HI,49.75,50.25,4.31,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,HI,42.94,57.06,9.94,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,HI,42.94,57.06,9.94,0.89,0.00,0.00,2018-01-09,2018-01-15,1
20180102,HI,54.13,45.87,21.25,0.89,0.00,0.00,2018-01-02,2018-01-08,1
20171226,HI,54.13,45.87,21.25,0.89,0.00,0.00,2017-12-26,2018-01-01,1
20171219,HI,50.64,49.36,21.25,0.89,0.00,0.00,2017-12-19,2017-12-25,1
20171212,HI,56.90,43.10,21.25,0.89,0.00,0.00,2017-12-12,2017-12-18,1
20171205,HI,56.90,43.10,21.25,0.89,0.00,0.00,2017-12-05,2017-12-11,1
20171128,HI,53.80,46.20,26.32,6.99,0.00,0.00,2017-11-28,2017-12-04,1
20171121,HI,52.07,47.93,26.57,7.55,0.00,0.00,2017-11-21,2017-11-27,1
20171114,HI,52.07,47.93,26.57,7.55,0.00,0.00,2017-11-14,2017-11-20,1
20171107,HI,40.54,59.46,46.98,11.79,2.14,0.00,2017-11-07,2017-11-13,1
20171031,HI,40.54,59.46,46.98,11.79,2.14,0.00,2017-10-31,2017-11-06,1
20171024,HI,22.59,77.41,48.35,11.79,2.14,0.00,2017-10-24,2017-10-30,1
20171017,HI,3.92,96.08,65.35,14.78,2.35,0.00,2017-10-17,2017-10-23,1
20171010,HI,3.92,96.08,65.35,14.78,2.35,0.00,2017-10-10,2017-10-16,1
20171003,HI,3.92,96.08,65.35,14.78,2.35,0.00,2017-10-03,2017-10-09,1
20170926,HI,4.68,95.32,63.42,14.78,2.35,0.00,2017-09-26,2017-10-02,1
20170919,HI,9.35,90.65,62.25,14.59,2.36,0.00,2017-09-19,2017-09-25,1
20170912,HI,9.35,90.65,61.76,14.38,1.88,0.00,2017-09-12,2017-09-18,1
20170905,HI,11.14,88.86,63.54,15.27,1.88,0.00,2017-09-05,2017-09-11,1
20170829,HI,11.14,88.86,63.54,15.27,1.88,0.00,2017-08-29,2017-09-04,1
20170822,HI,11.14,88.86,71.42,12.83,0.52,0.00,2017-08-22,2017-08-28,1
20170815,HI,11.89,88.11,69.01,11.64,0.00,0.00,2017-08-15,2017-08-21,1
20170808,HI,11.89,88.11,69.01,11.64,0.00,0.00,2017-08-08,2017-08-14,1
20170801,HI,11.89,88.11,69.01,11.64,0.00,0.00,2017-08-01,2017-08-07,1
20170725,HI,11.89,88.11,69.01,11.64,0.00,0.00,2017-07-25,2017-07-31,1
20170718,HI,11.89,88.11,59.16,1.93,0.00,0.00,2017-07-18,2017-07-24,1
20170711,HI,23.00,77.00,59.16,1.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,HI,27.31,72.69,57.03,1.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,HI,25.09,74.91,34.34,2.41,0.00,0.00,2017-06-27,2017-07-03,1
20170620,HI,38.52,61.48,28.46,0.85,0.00,0.00,2017-06-20,2017-06-26,1
20170613,HI,48.03,51.97,24.04,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,HI,60.19,39.81,25.37,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,HI,60.19,39.81,25.37,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,HI,60.19,39.81,25.37,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,HI,60.19,39.81,25.37,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,HI,56.84,43.16,25.69,9.55,0.00,0.00,2017-05-09,2017-05-15,1
20170502,HI,54.57,45.43,25.69,9.55,0.00,0.00,2017-05-02,2017-05-08,1
20170425,HI,0.00,100.00,27.94,16.32,0.00,0.00,2017-04-25,2017-05-01,1
20170418,HI,0.00,100.00,30.93,17.55,0.00,0.00,2017-04-18,2017-04-24,1
20170411,HI,0.00,100.00,30.93,17.55,0.00,0.00,2017-04-11,2017-04-17,1
20170404,HI,13.12,86.88,25.69,17.55,0.00,0.00,2017-04-04,2017-04-10,1
20170328,HI,34.96,65.04,25.69,17.55,0.00,0.00,2017-03-28,2017-04-03,1
20170321,HI,34.96,65.04,26.95,0.00,0.00,0.00,2017-03-21,2017-03-27,1
20170314,HI,59.43,40.57,16.72,0.00,0.00,0.00,2017-03-14,2017-03-20,1
20170307,HI,50.51,49.49,7.37,0.00,0.00,0.00,2017-03-07,2017-03-13,1
20170228,HI,72.11,27.89,7.36,0.00,0.00,0.00,2017-02-28,2017-03-06,1
20170221,HI,72.11,27.89,7.36,0.00,0.00,0.00,2017-02-21,2017-02-27,1
20170214,HI,71.22,28.78,7.36,0.00,0.00,0.00,2017-02-14,2017-02-20,1
20170207,HI,44.27,55.73,1.55,0.00,0.00,0.00,2017-02-07,2017-02-13,1
