MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,LA,87.67,12.33,5.17,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,LA,87.67,12.33,5.17,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,LA,85.81,14.19,7.74,0.01,0.00,0.00,2020-05-19,2020-05-25,1
20200512,LA,76.42,23.58,15.76,6.80,0.00,0.00,2020-05-12,2020-05-18,1
20200505,LA,68.41,31.59,17.58,3.36,0.00,0.00,2020-05-05,2020-05-11,1
20200428,LA,47.09,52.91,22.35,3.36,0.00,0.00,2020-04-28,2020-05-04,1
20200421,LA,47.60,52.40,22.36,3.36,0.00,0.00,2020-04-21,2020-04-27,1
20200414,LA,46.03,53.97,22.60,2.50,0.00,0.00,2020-04-14,2020-04-20,1
20200407,LA,49.56,50.44,15.66,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,LA,61.71,38.29,13.27,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,LA,73.84,26.16,2.70,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,LA,74.59,25.41,2.70,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,LA,78.50,21.50,2.70,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,LA,92.31,7.69,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,LA,92.31,7.69,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,LA,76.61,23.39,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,LA,66.90,33.10,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,LA,59.59,40.41,0.25,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,LA,65.27,34.73,0.25,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,LA,66.68,33.32,1.61,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,LA,80.11,19.89,2.19,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,LA,73.04,26.96,5.37,0.10,0.00,0.00,2020-01-07,2020-01-13,1
20191231,LA,56.26,43.74,5.78,0.10,0.00,0.00,2019-12-31,2020-01-06,1
20191224,LA,56.26,43.74,7.17,0.09,0.00,0.00,2019-12-24,2019-12-30,1
20191217,LA,56.26,43.74,6.86,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,LA,56.39,43.61,9.38,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,LA,68.30,31.70,2.52,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,LA,84.37,15.63,2.02,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,LA,84.37,15.63,1.29,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,LA,88.63,11.37,1.29,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,LA,88.63,11.37,1.29,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,LA,80.55,19.45,6.78,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,LA,48.18,51.82,17.90,6.75,0.00,0.00,2019-10-22,2019-10-28,1
20191015,LA,41.47,58.53,20.95,6.75,0.00,0.00,2019-10-15,2019-10-21,1
20191008,LA,35.83,64.17,20.54,5.38,0.00,0.00,2019-10-08,2019-10-14,1
20191001,LA,57.88,42.12,20.29,5.21,0.00,0.00,2019-10-01,2019-10-07,1
