MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,MT,57.83,42.17,5.45,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,MT,67.29,32.71,2.47,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,MT,64.60,35.40,0.82,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,MT,67.18,32.82,0.82,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,MT,70.55,29.45,0.82,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,MT,90.31,9.69,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,MT,90.31,9.69,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,MT,81.36,18.64,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,MT,85.08,14.92,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,MT,88.24,11.76,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,MT,88.24,11.76,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,MT,89.35,10.65,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,MT,89.35,10.65,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,MT,89.35,10.65,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,MT,94.31,5.69,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,MT,95.41,4.59,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,MT,96.73,3.27,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,MT,96.50,3.50,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,MT,91.86,8.14,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,MT,91.86,8.14,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,MT,88.47,11.53,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,MT,88.35,11.65,0.06,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,MT,89.74,10.26,0.07,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,MT,91.18,8.82,0.07,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,MT,91.18,8.82,0.15,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,MT,95.31,4.69,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,MT,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,MT,99.91,0.09,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,MT,99.91,0.09,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,MT,99.91,0.09,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,MT,97.38,2.62,0.09,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,MT,97.38,2.62,0.09,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,MT,94.83,5.17,2.56,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,MT,94.83,5.17,2.56,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,MT,87.99,12.01,3.44,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,MT,84.48,15.52,3.44,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,MT,84.48,15.52,3.44,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,MT,84.48,15.52,3.44,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,MT,78.22,21.78,3.44,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,MT,86.15,13.85,3.44,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,MT,86.15,13.85,3.44,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,MT,84.94,15.06,3.44,0.46,0.00,0.00,2019-07-16,2019-07-22,1
20190709,MT,84.94,15.06,3.44,0.46,0.00,0.00,2019-07-09,2019-07-15,1
20190702,MT,87.72,12.28,3.44,0.46,0.00,0.00,2019-07-02,2019-07-08,1
20190625,MT,79.66,20.34,3.44,0.46,0.00,0.00,2019-06-25,2019-07-01,1
20190618,MT,79.66,20.34,5.11,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,MT,83.93,16.07,1.75,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,MT,90.98,9.02,1.75,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,MT,91.50,8.50,1.75,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,MT,94.64,5.36,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,MT,94.64,5.36,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,MT,94.64,5.36,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,MT,91.55,8.45,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,MT,90.33,9.67,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,MT,93.87,6.13,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,MT,93.58,6.42,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,MT,93.79,6.21,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,MT,94.09,5.91,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,MT,94.09,5.91,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,MT,94.09,5.91,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,MT,90.60,9.40,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,MT,89.59,10.41,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,MT,89.54,10.46,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,MT,85.43,14.57,0.92,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,MT,85.43,14.57,0.97,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,MT,87.73,12.27,0.97,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,MT,87.73,12.27,0.92,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,MT,87.73,12.27,0.92,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,MT,93.69,6.31,0.92,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,MT,93.69,6.31,0.92,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,MT,92.72,7.28,1.47,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,MT,92.72,7.28,1.47,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,MT,92.71,7.29,1.47,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,MT,92.37,7.63,1.47,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,MT,92.30,7.70,1.47,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,MT,90.34,9.66,1.47,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,MT,83.59,16.41,1.47,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,MT,81.72,18.28,1.47,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,MT,73.83,26.17,8.06,0.77,0.00,0.00,2018-10-30,2018-11-05,1
20181023,MT,73.79,26.21,8.06,0.77,0.00,0.00,2018-10-23,2018-10-29,1
20181016,MT,73.79,26.21,8.06,0.77,0.00,0.00,2018-10-16,2018-10-22,1
20181009,MT,68.39,31.61,8.06,0.81,0.00,0.00,2018-10-09,2018-10-15,1
20181002,MT,46.31,53.69,13.18,2.74,0.00,0.00,2018-10-02,2018-10-08,1
20180925,MT,46.28,53.72,13.18,2.74,0.00,0.00,2018-09-25,2018-10-01,1
20180918,MT,46.31,53.69,13.18,3.48,0.00,0.00,2018-09-18,2018-09-24,1
20180911,MT,46.31,53.69,13.07,3.48,0.00,0.00,2018-09-11,2018-09-17,1
20180904,MT,46.31,53.69,13.07,3.48,0.00,0.00,2018-09-04,2018-09-10,1
20180828,MT,46.39,53.61,11.47,3.48,0.00,0.00,2018-08-28,2018-09-03,1
20180821,MT,47.08,52.92,11.47,2.32,0.00,0.00,2018-08-21,2018-08-27,1
20180814,MT,41.72,58.28,11.47,2.32,0.00,0.00,2018-08-14,2018-08-20,1
20180807,MT,71.62,28.38,11.47,2.32,0.00,0.00,2018-08-07,2018-08-13,1
20180731,MT,74.48,25.52,9.37,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,MT,75.02,24.98,8.18,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,MT,84.00,16.00,7.36,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,MT,84.07,15.93,7.36,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,MT,84.45,15.55,4.10,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,MT,83.72,16.28,4.10,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,MT,83.72,16.28,4.10,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,MT,88.05,11.95,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,MT,88.05,11.95,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,MT,87.52,12.48,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,MT,91.13,8.87,3.52,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,MT,88.36,11.64,3.52,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,MT,93.03,6.97,3.52,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,MT,93.03,6.97,3.52,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,MT,91.13,8.87,3.81,1.12,0.00,0.00,2018-04-24,2018-04-30,1
20180417,MT,91.13,8.87,3.81,1.12,0.00,0.00,2018-04-17,2018-04-23,1
20180410,MT,88.33,11.67,5.79,2.11,0.00,0.00,2018-04-10,2018-04-16,1
20180403,MT,88.33,11.67,5.79,2.11,0.00,0.00,2018-04-03,2018-04-09,1
20180327,MT,84.38,15.62,8.72,3.41,0.00,0.00,2018-03-27,2018-04-02,1
20180320,MT,84.35,15.65,8.70,3.74,0.00,0.00,2018-03-20,2018-03-26,1
20180313,MT,76.11,23.89,11.79,4.77,0.00,0.00,2018-03-13,2018-03-19,1
20180306,MT,68.91,31.09,14.60,6.11,0.00,0.00,2018-03-06,2018-03-12,1
20180227,MT,67.94,32.06,14.60,6.11,0.00,0.00,2018-02-27,2018-03-05,1
20180220,MT,60.55,39.45,23.53,6.11,0.00,0.00,2018-02-20,2018-02-26,1
20180213,MT,60.55,39.45,23.53,6.11,0.00,0.00,2018-02-13,2018-02-19,1
20180206,MT,57.34,42.66,28.16,14.49,0.00,0.00,2018-02-06,2018-02-12,1
20180130,MT,57.09,42.91,28.19,14.49,0.00,0.00,2018-01-30,2018-02-05,1
20180123,MT,57.09,42.91,28.19,14.49,0.00,0.00,2018-01-23,2018-01-29,1
20180116,MT,57.09,42.91,28.19,14.49,0.00,0.00,2018-01-16,2018-01-22,1
20180109,MT,57.08,42.92,28.19,14.49,0.00,0.00,2018-01-09,2018-01-15,1
20180102,MT,47.47,52.53,42.04,26.75,12.23,0.00,2018-01-02,2018-01-08,1
20171226,MT,29.26,70.74,52.14,30.20,12.27,0.00,2017-12-26,2018-01-01,1
20171219,MT,28.46,71.54,52.88,30.20,12.27,0.00,2017-12-19,2017-12-25,1
20171212,MT,28.46,71.54,52.88,30.20,12.27,0.00,2017-12-12,2017-12-18,1
20171205,MT,28.46,71.54,52.88,30.20,12.27,0.00,2017-12-05,2017-12-11,1
20171128,MT,27.00,73.00,53.50,30.20,12.27,0.00,2017-11-28,2017-12-04,1
20171121,MT,24.32,75.68,57.82,30.20,12.27,0.00,2017-11-21,2017-11-27,1
20171114,MT,24.30,75.70,57.82,30.20,12.27,0.00,2017-11-14,2017-11-20,1
20171107,MT,24.30,75.70,57.82,30.20,12.27,0.00,2017-11-07,2017-11-13,1
20171031,MT,16.34,83.66,73.37,41.50,14.90,0.00,2017-10-31,2017-11-06,1
20171024,MT,16.34,83.66,73.37,41.50,14.90,0.00,2017-10-24,2017-10-30,1
20171017,MT,9.82,90.18,76.49,47.92,14.91,0.00,2017-10-17,2017-10-23,1
20171010,MT,9.59,90.41,76.49,54.94,17.78,5.46,2017-10-10,2017-10-16,1
20171003,MT,9.59,90.41,76.49,65.77,23.40,10.19,2017-10-03,2017-10-09,1
20170926,MT,6.48,93.52,86.08,69.62,42.74,17.53,2017-09-26,2017-10-02,1
20170919,MT,1.29,98.71,86.46,69.72,42.74,17.53,2017-09-19,2017-09-25,1
20170912,MT,0.00,100.00,91.22,73.02,49.86,25.97,2017-09-12,2017-09-18,1
20170905,MT,0.00,100.00,91.22,68.77,43.68,25.97,2017-09-05,2017-09-11,1
20170829,MT,0.03,99.97,90.20,66.01,39.42,24.55,2017-08-29,2017-09-04,1
20170822,MT,2.77,97.23,90.20,59.55,34.34,11.87,2017-08-22,2017-08-28,1
20170815,MT,2.77,97.23,69.79,46.57,25.11,11.87,2017-08-15,2017-08-21,1
20170808,MT,11.49,88.51,60.79,44.34,25.07,11.87,2017-08-08,2017-08-14,1
20170801,MT,14.41,85.59,53.39,37.76,25.06,11.87,2017-08-01,2017-08-07,1
20170725,MT,18.27,81.73,48.88,37.76,23.89,11.87,2017-07-25,2017-07-31,1
20170718,MT,34.59,65.41,45.40,37.74,22.00,1.54,2017-07-18,2017-07-24,1
20170711,MT,45.80,54.20,44.72,37.74,22.00,0.00,2017-07-11,2017-07-17,1
20170704,MT,52.28,47.72,42.94,34.93,12.89,0.00,2017-07-04,2017-07-10,1
20170627,MT,52.28,47.72,42.11,25.17,6.77,0.00,2017-06-27,2017-07-03,1
20170620,MT,56.31,43.69,27.11,12.34,6.37,0.00,2017-06-20,2017-06-26,1
20170613,MT,64.27,35.73,20.55,10.02,0.00,0.00,2017-06-13,2017-06-19,1
20170606,MT,63.31,36.69,16.56,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,MT,67.50,32.50,0.00,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,MT,95.12,4.88,0.00,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,MT,98.45,1.55,0.00,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,MT,98.45,1.55,0.00,0.00,0.00,0.00,2017-05-09,2017-05-15,1
20170502,MT,98.51,1.49,0.00,0.00,0.00,0.00,2017-05-02,2017-05-08,1
20170425,MT,87.57,12.43,0.00,0.00,0.00,0.00,2017-04-25,2017-05-01,1
20170418,MT,87.57,12.43,0.00,0.00,0.00,0.00,2017-04-18,2017-04-24,1
20170411,MT,87.57,12.43,0.00,0.00,0.00,0.00,2017-04-11,2017-04-17,1
20170404,MT,86.71,13.29,1.11,0.00,0.00,0.00,2017-04-04,2017-04-10,1
20170328,MT,86.71,13.29,1.11,0.00,0.00,0.00,2017-03-28,2017-04-03,1
20170321,MT,86.71,13.29,1.11,0.00,0.00,0.00,2017-03-21,2017-03-27,1
20170314,MT,86.71,13.29,1.11,0.00,0.00,0.00,2017-03-14,2017-03-20,1
20170307,MT,89.98,10.02,1.11,0.00,0.00,0.00,2017-03-07,2017-03-13,1
20170228,MT,84.14,15.86,1.11,0.00,0.00,0.00,2017-02-28,2017-03-06,1
20170221,MT,82.26,17.74,2.73,0.00,0.00,0.00,2017-02-21,2017-02-27,1
20170214,MT,82.26,17.74,2.73,0.00,0.00,0.00,2017-02-14,2017-02-20,1
20170207,MT,85.27,14.73,2.73,0.00,0.00,0.00,2017-02-07,2017-02-13,1
20170131,MT,85.27,14.73,2.73,0.00,0.00,0.00,2017-01-31,2017-02-06,1
20170124,MT,85.27,14.73,2.73,0.00,0.00,0.00,2017-01-24,2017-01-30,1
20170117,MT,85.31,14.69,2.73,0.00,0.00,0.00,2017-01-17,2017-01-23,1
20170110,MT,85.31,14.69,2.73,0.00,0.00,0.00,2017-01-10,2017-01-16,1
20170103,MT,74.25,25.75,4.87,0.00,0.00,0.00,2017-01-03,2017-01-09,1
20161227,MT,74.25,25.75,4.87,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161220,MT,74.18,25.82,4.93,0.34,0.00,0.00,2016-12-20,2016-12-26,1
20161213,MT,72.32,27.68,4.93,0.34,0.00,0.00,2016-12-13,2016-12-19,1
20161206,MT,72.32,27.68,4.93,0.34,0.00,0.00,2016-12-06,2016-12-12,1
20161129,MT,72.95,27.05,4.96,0.34,0.00,0.00,2016-11-29,2016-12-05,1
20161122,MT,83.62,16.38,4.96,0.34,0.00,0.00,2016-11-22,2016-11-28,1
20161115,MT,83.63,16.37,4.96,0.34,0.00,0.00,2016-11-15,2016-11-21,1
20161108,MT,83.63,16.37,4.96,0.34,0.00,0.00,2016-11-08,2016-11-14,1
20161101,MT,81.27,18.73,6.32,0.34,0.00,0.00,2016-11-01,2016-11-07,1
20161025,MT,81.27,18.73,6.32,0.34,0.00,0.00,2016-10-25,2016-10-31,1
20161018,MT,81.27,18.73,6.32,0.34,0.00,0.00,2016-10-18,2016-10-24,1
20161011,MT,71.68,28.32,8.62,0.34,0.00,0.00,2016-10-11,2016-10-17,1
20161004,MT,56.60,43.40,24.24,5.22,0.00,0.00,2016-10-04,2016-10-10,1
20160927,MT,55.14,44.86,25.49,5.86,0.33,0.00,2016-09-27,2016-10-03,1
20160920,MT,42.56,57.44,27.50,6.05,0.33,0.00,2016-09-20,2016-09-26,1
20160913,MT,54.61,45.39,20.91,6.86,0.35,0.00,2016-09-13,2016-09-19,1
20160906,MT,43.00,57.00,24.93,8.08,0.48,0.00,2016-09-06,2016-09-12,1
20160830,MT,43.00,57.00,24.93,7.60,0.35,0.00,2016-08-30,2016-09-05,1
20160823,MT,42.90,57.10,25.00,7.60,0.35,0.00,2016-08-23,2016-08-29,1
20160816,MT,42.70,57.30,26.57,9.82,0.68,0.00,2016-08-16,2016-08-22,1
20160809,MT,42.70,57.30,26.57,9.74,0.47,0.00,2016-08-09,2016-08-15,1
20160802,MT,59.77,40.23,14.73,1.13,0.47,0.00,2016-08-02,2016-08-08,1
20160726,MT,59.77,40.23,14.73,1.13,0.47,0.00,2016-07-26,2016-08-01,1
20160719,MT,60.33,39.67,14.73,1.13,0.47,0.00,2016-07-19,2016-07-25,1
20160712,MT,70.52,29.48,8.74,0.47,0.00,0.00,2016-07-12,2016-07-18,1
20160705,MT,68.81,31.19,8.69,0.27,0.00,0.00,2016-07-05,2016-07-11,1
20160628,MT,68.82,31.18,8.69,0.27,0.00,0.00,2016-06-28,2016-07-04,1
20160621,MT,71.10,28.90,8.02,0.00,0.00,0.00,2016-06-21,2016-06-27,1
20160614,MT,71.54,28.46,7.69,0.00,0.00,0.00,2016-06-14,2016-06-20,1
20160607,MT,77.41,22.59,7.62,0.00,0.00,0.00,2016-06-07,2016-06-13,1
20160531,MT,79.24,20.76,7.62,0.00,0.00,0.00,2016-05-31,2016-06-06,1
20160524,MT,77.72,22.28,7.84,0.00,0.00,0.00,2016-05-24,2016-05-30,1
20160517,MT,77.72,22.28,7.84,0.00,0.00,0.00,2016-05-17,2016-05-23,1
20160510,MT,78.12,21.88,7.87,0.00,0.00,0.00,2016-05-10,2016-05-16,1
20160503,MT,78.12,21.88,7.87,0.00,0.00,0.00,2016-05-03,2016-05-09,1
20160426,MT,78.13,21.87,7.87,0.00,0.00,0.00,2016-04-26,2016-05-02,1
20160419,MT,74.43,25.57,7.87,0.81,0.00,0.00,2016-04-19,2016-04-25,1
20160412,MT,65.17,34.83,8.64,2.44,0.00,0.00,2016-04-12,2016-04-18,1
20160405,MT,65.06,34.94,8.67,2.44,0.00,0.00,2016-04-05,2016-04-11,1
20160329,MT,59.16,40.84,12.37,3.46,0.00,0.00,2016-03-29,2016-04-04,1
20160322,MT,59.16,40.84,12.39,3.46,0.00,0.00,2016-03-22,2016-03-28,1
20160315,MT,44.46,55.54,12.90,3.56,0.00,0.00,2016-03-15,2016-03-21,1
20160308,MT,43.30,56.70,13.53,3.56,0.00,0.00,2016-03-08,2016-03-14,1
20160301,MT,42.94,57.06,24.95,8.69,0.00,0.00,2016-03-01,2016-03-07,1
20160223,MT,47.60,52.40,28.41,10.27,0.00,0.00,2016-02-23,2016-02-29,1
20160216,MT,47.60,52.40,29.73,10.27,0.00,0.00,2016-02-16,2016-02-22,1
20160209,MT,47.72,52.28,29.73,12.66,3.54,0.00,2016-02-09,2016-02-15,1
20160202,MT,47.72,52.28,29.73,12.66,3.54,0.00,2016-02-02,2016-02-08,1
20160126,MT,47.92,52.08,29.73,14.46,3.54,0.00,2016-01-26,2016-02-01,1
20160119,MT,47.92,52.08,30.47,14.46,3.54,0.00,2016-01-19,2016-01-25,1
20160112,MT,45.42,54.58,37.45,18.14,3.54,0.00,2016-01-12,2016-01-18,1
20160105,MT,46.32,53.68,35.49,18.14,3.54,0.00,2016-01-05,2016-01-11,1
20151229,MT,48.55,51.45,30.93,20.95,3.54,0.00,2015-12-29,2016-01-04,1
20151222,MT,48.55,51.45,30.93,20.95,3.54,0.00,2015-12-22,2015-12-28,1
20151215,MT,43.97,56.03,33.85,25.76,3.54,0.00,2015-12-15,2015-12-21,1
20151208,MT,44.02,55.98,33.85,26.06,5.63,0.00,2015-12-08,2015-12-14,1
20151201,MT,44.02,55.98,33.85,26.06,5.63,0.00,2015-12-01,2015-12-07,1
20151124,MT,42.40,57.60,33.85,26.07,5.63,0.00,2015-11-24,2015-11-30,1
20151117,MT,42.40,57.60,33.85,26.07,5.63,0.00,2015-11-17,2015-11-23,1
20151110,MT,50.00,50.00,33.85,26.10,5.63,0.00,2015-11-10,2015-11-16,1
20151103,MT,50.00,50.00,33.87,26.10,9.29,0.00,2015-11-03,2015-11-09,1
20151027,MT,45.12,54.88,34.77,27.92,16.92,0.00,2015-10-27,2015-11-02,1
20151020,MT,45.12,54.88,34.77,27.92,16.92,0.00,2015-10-20,2015-10-26,1
20151013,MT,45.80,54.20,35.19,28.11,16.92,0.00,2015-10-13,2015-10-19,1
20151006,MT,45.80,54.20,35.19,28.11,16.92,0.00,2015-10-06,2015-10-12,1
20150929,MT,30.55,69.45,38.18,28.78,16.92,0.00,2015-09-29,2015-10-05,1
20150922,MT,30.48,69.52,38.18,28.91,18.84,0.00,2015-09-22,2015-09-28,1
20150915,MT,28.22,71.78,38.58,28.91,18.84,0.00,2015-09-15,2015-09-21,1
20150908,MT,28.21,71.79,38.59,28.91,18.84,0.00,2015-09-08,2015-09-14,1
20150901,MT,28.21,71.79,38.59,28.91,18.84,0.00,2015-09-01,2015-09-07,1
20150825,MT,32.21,67.79,36.24,27.54,18.17,0.00,2015-08-25,2015-08-31,1
20150818,MT,36.94,63.06,35.70,23.50,14.36,0.00,2015-08-18,2015-08-24,1
20150811,MT,36.94,63.06,35.70,23.50,14.36,0.00,2015-08-11,2015-08-17,1
20150804,MT,36.94,63.06,35.70,23.50,13.95,0.00,2015-08-04,2015-08-10,1
20150728,MT,36.94,63.06,35.70,23.50,13.95,0.00,2015-07-28,2015-08-03,1
20150721,MT,28.58,71.42,42.31,25.92,13.60,0.00,2015-07-21,2015-07-27,1
20150714,MT,28.58,71.42,42.31,25.92,13.60,0.00,2015-07-14,2015-07-20,1
20150707,MT,27.97,72.03,42.31,25.92,13.60,0.00,2015-07-07,2015-07-13,1
20150630,MT,40.08,59.92,40.56,16.23,0.00,0.00,2015-06-30,2015-07-06,1
20150623,MT,40.29,59.71,21.32,0.55,0.00,0.00,2015-06-23,2015-06-29,1
20150616,MT,68.12,31.88,12.48,0.01,0.00,0.00,2015-06-16,2015-06-22,1
20150609,MT,70.42,29.58,2.72,0.00,0.00,0.00,2015-06-09,2015-06-15,1
20150602,MT,63.27,36.73,2.72,0.00,0.00,0.00,2015-06-02,2015-06-08,1
20150526,MT,66.14,33.86,2.97,0.00,0.00,0.00,2015-05-26,2015-06-01,1
20150519,MT,78.75,21.25,2.97,0.00,0.00,0.00,2015-05-19,2015-05-25,1
20150512,MT,67.08,32.92,2.90,0.00,0.00,0.00,2015-05-12,2015-05-18,1
20150505,MT,72.57,27.43,2.90,0.00,0.00,0.00,2015-05-05,2015-05-11,1
20150428,MT,85.06,14.94,2.90,0.00,0.00,0.00,2015-04-28,2015-05-04,1
20150421,MT,90.27,9.73,2.82,0.00,0.00,0.00,2015-04-21,2015-04-27,1
20150414,MT,89.74,10.26,3.65,0.00,0.00,0.00,2015-04-14,2015-04-20,1
20150407,MT,94.63,5.37,0.00,0.00,0.00,0.00,2015-04-07,2015-04-13,1
20150331,MT,94.63,5.37,0.00,0.00,0.00,0.00,2015-03-31,2015-04-06,1
20150324,MT,94.63,5.37,0.00,0.00,0.00,0.00,2015-03-24,2015-03-30,1
20150317,MT,96.09,3.91,0.00,0.00,0.00,0.00,2015-03-17,2015-03-23,1
20150310,MT,96.09,3.91,0.00,0.00,0.00,0.00,2015-03-10,2015-03-16,1
20150303,MT,96.09,3.91,0.00,0.00,0.00,0.00,2015-03-03,2015-03-09,1
20150224,MT,96.09,3.91,0.00,0.00,0.00,0.00,2015-02-24,2015-03-02,1
20150217,MT,96.52,3.48,0.00,0.00,0.00,0.00,2015-02-17,2015-02-23,1
20150210,MT,96.52,3.48,0.00,0.00,0.00,0.00,2015-02-10,2015-02-16,1
20150203,MT,96.52,3.48,0.00,0.00,0.00,0.00,2015-02-03,2015-02-09,1
20150127,MT,96.52,3.48,0.00,0.00,0.00,0.00,2015-01-27,2015-02-02,1
20150120,MT,96.79,3.21,0.00,0.00,0.00,0.00,2015-01-20,2015-01-26,1
20150113,MT,98.86,1.14,0.00,0.00,0.00,0.00,2015-01-13,2015-01-19,1
20150106,MT,98.86,1.14,0.00,0.00,0.00,0.00,2015-01-06,2015-01-12,1
20141230,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-12-30,2015-01-05,1
20141223,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-12-23,2014-12-29,1
20141216,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-12-16,2014-12-22,1
20141209,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-12-09,2014-12-15,1
20141202,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-12-02,2014-12-08,1
20141125,MT,98.84,1.16,0.00,0.00,0.00,0.00,2014-11-25,2014-12-01,1
20141118,MT,98.36,1.64,0.00,0.00,0.00,0.00,2014-11-18,2014-11-24,1
20141111,MT,98.85,1.15,0.00,0.00,0.00,0.00,2014-11-11,2014-11-17,1
20141104,MT,98.88,1.12,0.00,0.00,0.00,0.00,2014-11-04,2014-11-10,1
20141028,MT,98.88,1.12,0.00,0.00,0.00,0.00,2014-10-28,2014-11-03,1
20141021,MT,91.73,8.27,0.89,0.00,0.00,0.00,2014-10-21,2014-10-27,1
20141014,MT,91.73,8.27,0.89,0.00,0.00,0.00,2014-10-14,2014-10-20,1
