MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,NV,16.61,83.39,65.23,17.48,0.00,0.00,2020-06-02,2020-06-08,1
20200526,NV,16.61,83.39,65.23,17.48,0.00,0.00,2020-05-26,2020-06-01,1
20200519,NV,16.61,83.39,65.23,17.48,0.00,0.00,2020-05-19,2020-05-25,1
20200512,NV,16.61,83.39,59.05,11.04,0.00,0.00,2020-05-12,2020-05-18,1
20200505,NV,17.88,82.12,54.64,6.88,0.00,0.00,2020-05-05,2020-05-11,1
20200428,NV,19.11,80.89,41.91,4.61,0.00,0.00,2020-04-28,2020-05-04,1
20200421,NV,28.81,71.19,39.64,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,NV,28.81,71.19,39.64,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,NV,28.81,71.19,39.64,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,NV,29.00,71.00,39.39,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,NV,29.00,71.00,10.11,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,NV,29.00,71.00,10.10,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,NV,35.34,64.66,10.10,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,NV,35.84,64.16,7.13,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,NV,37.59,62.41,4.30,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,NV,49.63,50.37,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,NV,49.63,50.37,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,NV,95.91,4.09,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,NV,95.91,4.09,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,NV,98.05,1.95,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,NV,98.05,1.95,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,NV,98.08,1.92,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,NV,98.08,1.92,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,NV,94.10,5.90,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,NV,94.10,5.90,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,NV,79.69,20.31,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,NV,22.71,77.29,3.94,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,NV,22.61,77.39,20.64,2.01,0.03,0.00,2019-11-26,2019-12-02,1
20191119,NV,34.60,65.40,21.76,2.01,0.03,0.00,2019-11-19,2019-11-25,1
20191112,NV,34.72,65.28,21.54,2.01,0.00,0.00,2019-11-12,2019-11-18,1
20191105,NV,37.72,62.28,8.53,0.24,0.00,0.00,2019-11-05,2019-11-11,1
20191029,NV,37.72,62.28,8.53,0.24,0.00,0.00,2019-10-29,2019-11-04,1
20191022,NV,37.72,62.28,8.53,0.24,0.00,0.00,2019-10-22,2019-10-28,1
20191015,NV,54.46,45.54,4.19,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,NV,80.62,19.38,4.19,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,NV,88.81,11.19,4.19,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,NV,88.81,11.19,4.19,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,NV,88.81,11.19,4.19,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,NV,90.49,9.51,3.77,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,NV,90.49,9.51,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,NV,95.75,4.25,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,NV,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,NV,99.98,0.02,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,NV,98.94,1.06,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,NV,89.94,10.06,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,NV,89.94,10.06,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
