MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,ND,39.67,60.33,31.21,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,ND,43.25,56.75,16.20,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,ND,43.25,56.75,16.20,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,ND,54.49,45.51,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,ND,51.57,48.43,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,ND,58.68,41.32,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,ND,66.79,33.21,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,ND,94.68,5.32,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,ND,94.68,5.32,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,ND,94.85,5.15,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,ND,94.85,5.15,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,ND,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,ND,94.01,5.99,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,ND,93.42,6.58,0.62,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,ND,81.43,18.57,6.58,0.62,0.00,0.00,2019-08-27,2019-09-02,1
20190820,ND,72.89,27.11,6.58,0.62,0.00,0.00,2019-08-20,2019-08-26,1
20190813,ND,71.07,28.93,6.58,0.62,0.00,0.00,2019-08-13,2019-08-19,1
20190806,ND,72.10,27.90,2.89,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,ND,76.06,23.94,1.81,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,ND,77.70,22.30,1.11,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,ND,73.82,26.18,4.35,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,ND,60.46,39.54,10.97,2.38,0.00,0.00,2019-07-09,2019-07-15,1
20190702,ND,60.47,39.53,10.68,2.38,0.00,0.00,2019-07-02,2019-07-08,1
20190625,ND,58.32,41.68,14.55,3.77,0.00,0.00,2019-06-25,2019-07-01,1
20190618,ND,58.32,41.68,21.66,6.78,0.00,0.00,2019-06-18,2019-06-24,1
20190611,ND,62.35,37.65,17.37,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,ND,71.14,28.86,11.80,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,ND,75.95,24.05,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,ND,76.92,23.08,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,ND,91.38,8.62,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,ND,91.38,8.62,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,ND,81.96,18.04,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,ND,81.65,18.35,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,ND,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,ND,82.63,17.37,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,ND,82.63,17.37,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,ND,79.76,20.24,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,ND,66.21,33.79,4.30,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,ND,66.21,33.79,4.30,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,ND,66.21,33.79,4.30,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,ND,66.21,33.79,4.30,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,ND,66.21,33.79,15.48,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,ND,64.20,35.80,16.72,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,ND,64.20,35.80,16.72,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,ND,64.20,35.80,16.72,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,ND,64.20,35.80,16.72,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,ND,53.30,46.70,26.55,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,ND,53.29,46.71,26.55,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,ND,39.77,60.23,26.55,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,ND,39.77,60.23,26.55,7.07,0.00,0.00,2018-11-06,2018-11-12,1
20181030,ND,39.77,60.23,26.55,7.07,0.00,0.00,2018-10-30,2018-11-05,1
20181023,ND,36.45,63.55,38.50,10.32,0.40,0.00,2018-10-23,2018-10-29,1
20181016,ND,36.45,63.55,38.50,10.32,0.40,0.00,2018-10-16,2018-10-22,1
20181009,ND,33.22,66.78,39.49,13.20,1.12,0.00,2018-10-09,2018-10-15,1
