MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,OK,70.07,29.93,15.16,5.08,1.72,0.00,2020-06-02,2020-06-08,1
20200526,OK,73.67,26.33,14.44,3.46,0.00,0.00,2020-05-26,2020-06-01,1
20200519,OK,72.34,27.66,16.66,3.46,0.00,0.00,2020-05-19,2020-05-25,1
20200512,OK,74.20,25.80,6.49,3.37,0.00,0.00,2020-05-12,2020-05-18,1
20200505,OK,76.46,23.54,5.44,2.40,0.00,0.00,2020-05-05,2020-05-11,1
20200428,OK,85.96,14.04,3.94,2.27,0.00,0.00,2020-04-28,2020-05-04,1
20200421,OK,89.09,10.91,3.94,2.27,0.00,0.00,2020-04-21,2020-04-27,1
20200414,OK,95.47,4.53,3.35,2.27,0.00,0.00,2020-04-14,2020-04-20,1
20200407,OK,95.47,4.53,3.35,2.27,0.00,0.00,2020-04-07,2020-04-13,1
20200331,OK,95.89,4.11,2.52,0.84,0.00,0.00,2020-03-31,2020-04-06,1
20200324,OK,93.64,6.36,3.11,0.84,0.00,0.00,2020-03-24,2020-03-30,1
20200317,OK,92.25,7.75,3.86,0.84,0.00,0.00,2020-03-17,2020-03-23,1
20200310,OK,85.63,14.37,4.66,0.84,0.00,0.00,2020-03-10,2020-03-16,1
20200303,OK,85.63,14.37,4.66,0.84,0.00,0.00,2020-03-03,2020-03-09,1
20200225,OK,86.53,13.47,4.66,0.84,0.00,0.00,2020-02-25,2020-03-02,1
20200218,OK,85.83,14.17,4.66,0.85,0.00,0.00,2020-02-18,2020-02-24,1
20200211,OK,84.31,15.69,6.77,0.85,0.00,0.00,2020-02-11,2020-02-17,1
20200204,OK,83.33,16.67,7.51,0.85,0.00,0.00,2020-02-04,2020-02-10,1
20200128,OK,81.34,18.66,8.03,0.85,0.00,0.00,2020-01-28,2020-02-03,1
20200121,OK,80.50,19.50,9.04,2.52,0.00,0.00,2020-01-21,2020-01-27,1
20200114,OK,71.77,28.23,12.10,3.64,0.00,0.00,2020-01-14,2020-01-20,1
20200107,OK,76.26,23.74,10.50,3.64,0.00,0.00,2020-01-07,2020-01-13,1
20191231,OK,76.45,23.55,10.47,3.64,0.00,0.00,2019-12-31,2020-01-06,1
20191224,OK,60.87,39.13,18.07,3.64,0.00,0.00,2019-12-24,2019-12-30,1
20191217,OK,63.90,36.10,13.85,3.64,0.00,0.00,2019-12-17,2019-12-23,1
20191210,OK,63.90,36.10,13.85,3.64,0.00,0.00,2019-12-10,2019-12-16,1
20191203,OK,65.35,34.65,14.27,3.67,0.00,0.00,2019-12-03,2019-12-09,1
20191126,OK,76.05,23.95,12.58,3.67,0.00,0.00,2019-11-26,2019-12-02,1
20191119,OK,76.40,23.60,10.50,2.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,OK,81.20,18.80,10.04,0.78,0.00,0.00,2019-11-12,2019-11-18,1
20191105,OK,76.11,23.89,9.41,0.78,0.00,0.00,2019-11-05,2019-11-11,1
20191029,OK,75.22,24.78,7.62,0.78,0.00,0.00,2019-10-29,2019-11-04,1
20191022,OK,55.90,44.10,10.65,1.09,0.00,0.00,2019-10-22,2019-10-28,1
20191015,OK,70.51,29.49,8.70,1.09,0.00,0.00,2019-10-15,2019-10-21,1
20191008,OK,76.21,23.79,8.12,0.95,0.00,0.00,2019-10-08,2019-10-14,1
20191001,OK,71.94,28.06,11.08,1.01,0.00,0.00,2019-10-01,2019-10-07,1
20190924,OK,72.39,27.61,11.41,2.10,0.00,0.00,2019-09-24,2019-09-30,1
20190917,OK,59.32,40.68,20.93,7.68,1.97,0.00,2019-09-17,2019-09-23,1
20190910,OK,60.21,39.79,19.17,7.52,2.82,0.00,2019-09-10,2019-09-16,1
20190903,OK,65.89,34.11,14.07,5.19,2.01,0.00,2019-09-03,2019-09-09,1
20190827,OK,61.77,38.23,18.47,7.94,2.62,0.00,2019-08-27,2019-09-02,1
20190820,OK,50.05,49.95,24.24,11.87,0.00,0.00,2019-08-20,2019-08-26,1
20190813,OK,53.29,46.71,23.63,6.91,0.00,0.00,2019-08-13,2019-08-19,1
20190806,OK,54.55,45.45,15.08,3.70,0.00,0.00,2019-08-06,2019-08-12,1
20190730,OK,81.30,18.70,5.67,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,OK,94.33,5.67,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,OK,99.76,0.24,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,OK,99.98,0.02,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,OK,99.98,0.02,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,OK,98.28,1.72,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,OK,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
