MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,OR,4.84,95.16,81.69,37.35,4.88,0.00,2020-06-02,2020-06-08,1
20200526,OR,4.33,95.67,82.31,38.08,7.00,0.00,2020-05-26,2020-06-01,1
20200519,OR,2.63,97.37,83.61,37.20,8.17,0.00,2020-05-19,2020-05-25,1
20200512,OR,2.63,97.37,82.11,37.67,8.69,0.00,2020-05-12,2020-05-18,1
20200505,OR,3.84,96.16,76.13,35.97,5.93,0.00,2020-05-05,2020-05-11,1
20200428,OR,3.84,96.16,63.65,33.43,2.36,0.00,2020-04-28,2020-05-04,1
20200421,OR,5.37,94.63,63.13,31.84,2.36,0.00,2020-04-21,2020-04-27,1
20200414,OR,10.53,89.47,60.46,26.20,0.00,0.00,2020-04-14,2020-04-20,1
20200407,OR,13.99,86.01,55.61,13.05,0.00,0.00,2020-04-07,2020-04-13,1
20200331,OR,15.43,84.57,56.84,13.23,0.00,0.00,2020-03-31,2020-04-06,1
20200324,OR,15.43,84.57,56.84,8.38,0.00,0.00,2020-03-24,2020-03-30,1
20200317,OR,15.69,84.31,55.37,7.63,0.00,0.00,2020-03-17,2020-03-23,1
20200310,OR,17.78,82.22,56.73,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,OR,19.88,80.12,42.91,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,OR,20.28,79.72,31.83,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,OR,20.86,79.14,24.28,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,OR,18.93,81.07,25.33,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,OR,10.92,89.08,23.29,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,OR,9.12,90.88,26.18,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,OR,2.81,97.19,32.87,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,OR,2.81,97.19,19.09,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,OR,2.40,97.60,24.57,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,OR,2.40,97.60,24.46,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,OR,2.40,97.60,24.46,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,OR,1.61,98.39,24.46,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,OR,1.22,98.78,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,OR,35.05,64.95,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,OR,44.34,55.66,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,OR,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,OR,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,OR,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,OR,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,OR,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,OR,88.54,11.46,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,OR,88.54,11.46,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,OR,88.54,11.46,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,OR,88.23,11.77,0.98,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,OR,84.85,15.15,4.19,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,OR,70.90,29.10,6.53,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,OR,68.05,31.95,10.83,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,OR,67.61,32.39,10.83,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,OR,67.61,32.39,10.83,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,OR,67.61,32.39,10.83,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,OR,65.17,34.83,10.83,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,OR,66.08,33.92,10.83,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,OR,66.08,33.92,10.83,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,OR,66.08,33.92,10.83,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,OR,66.08,33.92,10.83,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,OR,71.07,28.93,9.21,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,OR,75.59,24.41,8.91,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,OR,75.59,24.41,8.91,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,OR,83.05,16.95,1.80,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,OR,83.05,16.95,1.80,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,OR,88.25,11.75,1.80,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,OR,84.58,15.42,1.80,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,OR,82.70,17.30,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,OR,82.70,17.30,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,OR,82.70,17.30,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,OR,82.70,17.30,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,OR,76.65,23.35,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,OR,43.21,56.79,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,OR,17.71,82.29,39.91,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,OR,17.71,82.29,39.91,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,OR,17.71,82.29,39.91,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,OR,20.67,79.33,40.23,1.58,0.00,0.00,2019-03-12,2019-03-18,1
20190305,OR,15.93,84.07,63.89,25.91,0.00,0.00,2019-03-05,2019-03-11,1
20190226,OR,14.64,85.36,68.86,31.54,0.00,0.00,2019-02-26,2019-03-04,1
20190219,OR,2.12,97.88,80.91,56.97,7.13,0.00,2019-02-19,2019-02-25,1
20190212,OR,0.00,100.00,88.06,62.67,11.54,0.00,2019-02-12,2019-02-18,1
20190205,OR,0.00,100.00,90.93,74.11,11.54,0.00,2019-02-05,2019-02-11,1
20190129,OR,0.00,100.00,90.91,74.11,11.52,0.00,2019-01-29,2019-02-04,1
20190122,OR,0.00,100.00,90.90,78.16,12.13,0.00,2019-01-22,2019-01-28,1
20190115,OR,0.00,100.00,91.78,78.16,23.39,0.00,2019-01-15,2019-01-21,1
20190108,OR,0.00,100.00,91.78,78.16,23.39,0.00,2019-01-08,2019-01-14,1
20190101,OR,0.00,100.00,91.78,78.16,23.39,0.00,2019-01-01,2019-01-07,1
20181225,OR,0.00,100.00,93.34,80.46,24.77,0.00,2018-12-25,2018-12-31,1
20181218,OR,0.00,100.00,98.65,86.21,36.38,0.00,2018-12-18,2018-12-24,1
20181211,OR,0.00,100.00,98.65,86.21,36.38,0.00,2018-12-11,2018-12-17,1
20181204,OR,0.00,100.00,98.65,86.21,34.26,0.00,2018-12-04,2018-12-10,1
20181127,OR,0.00,100.00,98.65,86.21,34.26,0.00,2018-11-27,2018-12-03,1
20181120,OR,0.00,100.00,98.65,86.21,34.26,0.00,2018-11-20,2018-11-26,1
20181113,OR,0.00,100.00,97.63,86.23,34.26,0.00,2018-11-13,2018-11-19,1
20181106,OR,0.00,100.00,97.63,86.23,34.26,0.00,2018-11-06,2018-11-12,1
20181030,OR,0.00,100.00,97.63,86.25,33.65,0.00,2018-10-30,2018-11-05,1
20181023,OR,0.00,100.00,97.63,86.25,33.65,0.00,2018-10-23,2018-10-29,1
20181016,OR,0.00,100.00,97.63,86.25,33.65,0.00,2018-10-16,2018-10-22,1
20181009,OR,0.00,100.00,97.63,86.41,33.65,0.00,2018-10-09,2018-10-15,1
20181002,OR,0.00,100.00,97.68,86.46,33.65,0.00,2018-10-02,2018-10-08,1
20180925,OR,0.00,100.00,97.68,87.81,31.62,0.00,2018-09-25,2018-10-01,1
20180918,OR,0.00,100.00,97.68,88.07,31.62,0.00,2018-09-18,2018-09-24,1
20180911,OR,0.00,100.00,93.05,83.81,22.62,0.00,2018-09-11,2018-09-17,1
20180904,OR,0.00,100.00,93.05,83.81,21.58,0.00,2018-09-04,2018-09-10,1
20180828,OR,0.00,100.00,93.05,79.13,6.18,0.00,2018-08-28,2018-09-03,1
20180821,OR,0.00,100.00,93.05,69.79,6.18,0.00,2018-08-21,2018-08-27,1
20180814,OR,0.00,100.00,93.05,69.79,6.18,0.00,2018-08-14,2018-08-20,1
20180807,OR,0.00,100.00,89.31,66.66,0.00,0.00,2018-08-07,2018-08-13,1
20180731,OR,0.00,100.00,86.66,55.88,0.00,0.00,2018-07-31,2018-08-06,1
20180724,OR,5.52,94.48,82.79,55.88,0.00,0.00,2018-07-24,2018-07-30,1
20180717,OR,5.52,94.48,80.60,25.10,0.00,0.00,2018-07-17,2018-07-23,1
20180710,OR,5.52,94.48,68.58,18.01,0.00,0.00,2018-07-10,2018-07-16,1
20180703,OR,6.08,93.92,68.13,18.01,0.00,0.00,2018-07-03,2018-07-09,1
20180626,OR,6.12,93.88,68.13,18.01,0.00,0.00,2018-06-26,2018-07-02,1
20180619,OR,8.54,91.46,45.30,18.36,0.00,0.00,2018-06-19,2018-06-25,1
20180612,OR,8.55,91.45,45.30,18.36,0.00,0.00,2018-06-12,2018-06-18,1
20180605,OR,9.50,90.50,45.30,18.36,0.00,0.00,2018-06-05,2018-06-11,1
20180529,OR,33.48,66.52,45.30,18.36,0.00,0.00,2018-05-29,2018-06-04,1
20180522,OR,33.48,66.52,45.30,18.36,0.00,0.00,2018-05-22,2018-05-28,1
20180515,OR,33.33,66.67,41.44,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,OR,32.54,67.46,39.92,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,OR,32.94,67.06,39.92,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,OR,32.94,67.06,39.92,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,OR,32.94,67.06,31.83,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,OR,32.44,67.56,31.83,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,OR,32.44,67.56,32.89,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,OR,32.44,67.56,32.89,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,OR,23.86,76.14,38.32,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,OR,23.86,76.14,38.32,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,OR,23.86,76.14,38.32,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,OR,23.86,76.14,38.32,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,OR,23.82,76.18,38.32,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,OR,23.82,76.18,24.45,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,OR,26.55,73.45,20.39,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,OR,12.18,87.82,11.00,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,OR,34.61,65.39,11.00,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,OR,34.61,65.39,11.00,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,OR,77.09,22.91,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,OR,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,OR,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,OR,88.18,11.82,0.00,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,OR,67.05,32.95,0.00,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,OR,59.56,40.44,0.00,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,OR,59.56,40.44,0.00,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,OR,39.30,60.70,0.00,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,OR,39.23,60.77,28.57,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,OR,39.23,60.77,28.57,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,OR,39.23,60.77,28.57,0.00,0.00,0.00,2017-09-26,2017-10-02,1
