MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,PR,33.92,66.08,14.06,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,PR,50.62,49.38,9.21,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,PR,50.62,49.38,9.21,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,PR,63.46,36.54,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,PR,76.16,23.84,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,PR,87.48,12.52,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,PR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,PR,93.44,6.56,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,PR,91.15,8.85,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,PR,90.16,9.84,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,PR,91.71,8.29,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,PR,93.13,6.87,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,PR,93.69,6.31,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,PR,85.43,14.57,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,PR,85.43,14.57,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,PR,63.82,36.18,10.86,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,PR,63.82,36.18,10.86,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,PR,63.82,36.18,10.86,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,PR,63.82,36.18,10.86,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,PR,60.28,39.72,15.54,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,PR,60.28,39.72,15.54,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,PR,61.53,38.47,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,PR,67.86,32.14,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,PR,69.37,30.63,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,PR,69.37,30.63,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,PR,69.37,30.63,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,PR,69.38,30.62,7.28,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,PR,82.76,17.24,7.28,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,PR,82.06,17.94,7.93,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,PR,82.06,17.94,7.93,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,PR,64.68,35.32,16.67,7.24,0.00,0.00,2019-09-24,2019-09-30,1
20190917,PR,64.68,35.32,16.67,7.24,0.00,0.00,2019-09-17,2019-09-23,1
20190910,PR,61.58,38.42,19.02,13.23,0.00,0.00,2019-09-10,2019-09-16,1
20190903,PR,59.93,40.07,19.20,13.23,0.00,0.00,2019-09-03,2019-09-09,1
20190827,PR,55.57,44.43,21.42,14.34,0.00,0.00,2019-08-27,2019-09-02,1
20190820,PR,55.57,44.43,21.42,14.34,0.00,0.00,2019-08-20,2019-08-26,1
20190813,PR,55.57,44.43,21.42,14.34,0.00,0.00,2019-08-13,2019-08-19,1
20190806,PR,57.63,42.37,21.72,12.03,0.00,0.00,2019-08-06,2019-08-12,1
20190730,PR,51.69,48.31,23.70,13.08,0.00,0.00,2019-07-30,2019-08-05,1
20190723,PR,50.80,49.20,31.86,14.67,0.00,0.00,2019-07-23,2019-07-29,1
20190716,PR,39.11,60.89,34.93,14.70,0.00,0.00,2019-07-16,2019-07-22,1
20190709,PR,33.05,66.95,34.84,13.10,0.00,0.00,2019-07-09,2019-07-15,1
20190702,PR,40.08,59.92,31.84,5.80,0.00,0.00,2019-07-02,2019-07-08,1
20190625,PR,41.85,58.15,32.23,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,PR,41.85,58.15,32.23,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,PR,55.45,44.55,15.54,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,PR,55.45,44.55,15.54,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,PR,55.45,44.55,15.54,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,PR,47.08,52.92,17.08,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,PR,56.45,43.55,12.38,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,PR,55.71,44.29,15.92,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,PR,55.71,44.29,15.92,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,PR,50.81,49.19,12.61,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,PR,41.01,58.99,10.35,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,PR,41.01,58.99,10.35,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,PR,40.63,59.37,10.35,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,PR,13.14,86.86,30.38,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,PR,13.14,86.86,30.38,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,PR,13.14,86.86,30.38,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,PR,10.78,89.22,42.66,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,PR,11.74,88.26,32.51,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,PR,19.97,80.03,21.89,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,PR,19.97,80.03,21.89,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,PR,24.35,75.65,8.91,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,PR,24.35,75.65,8.91,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,PR,24.35,75.65,8.91,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,PR,24.35,75.65,8.91,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,PR,22.04,77.96,10.80,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,PR,39.28,60.72,6.01,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,PR,44.45,55.55,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,PR,44.45,55.55,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,PR,73.76,26.24,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,PR,73.76,26.24,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,PR,73.76,26.24,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,PR,73.76,26.24,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,PR,73.76,26.24,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,PR,96.33,3.67,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,PR,96.33,3.67,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,PR,96.33,3.67,0.00,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,PR,96.33,3.67,0.00,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,PR,85.52,14.48,0.00,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,PR,85.52,14.48,0.00,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,PR,78.35,21.65,0.00,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,PR,72.75,27.25,0.00,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,PR,63.82,36.18,0.00,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,PR,57.11,42.89,0.00,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,PR,48.39,51.61,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,PR,48.39,51.61,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,PR,48.39,51.61,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,PR,77.62,22.38,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,PR,77.62,22.38,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,PR,81.61,18.39,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,PR,81.61,18.39,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,PR,73.34,26.66,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,PR,66.29,33.71,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,PR,75.14,24.86,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,PR,75.14,24.86,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,PR,85.66,14.34,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,PR,85.66,14.34,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,PR,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-27,2018-04-02,1
