MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,TX,66.44,33.56,14.17,1.32,0.00,0.00,2020-06-02,2020-06-08,1
20200526,TX,66.97,33.03,7.85,1.19,0.00,0.00,2020-05-26,2020-06-01,1
20200519,TX,62.26,37.74,10.73,2.87,0.34,0.00,2020-05-19,2020-05-25,1
20200512,TX,54.68,45.32,14.65,5.44,1.99,0.00,2020-05-12,2020-05-18,1
20200505,TX,68.53,31.47,13.31,6.14,1.71,0.00,2020-05-05,2020-05-11,1
20200428,TX,71.46,28.54,15.63,6.90,1.59,0.00,2020-04-28,2020-05-04,1
20200421,TX,72.28,27.72,16.05,7.16,1.92,0.00,2020-04-21,2020-04-27,1
20200414,TX,75.16,24.84,15.93,7.75,1.80,0.14,2020-04-14,2020-04-20,1
20200407,TX,74.84,25.16,19.22,10.49,2.50,0.14,2020-04-07,2020-04-13,1
20200331,TX,73.40,26.60,20.26,14.60,5.47,0.35,2020-03-31,2020-04-06,1
20200324,TX,73.64,26.36,19.78,14.89,4.44,0.35,2020-03-24,2020-03-30,1
20200317,TX,69.38,30.62,22.05,15.97,6.96,0.29,2020-03-17,2020-03-23,1
20200310,TX,66.09,33.91,20.84,14.94,5.87,0.00,2020-03-10,2020-03-16,1
20200303,TX,65.58,34.42,21.16,13.93,5.87,0.00,2020-03-03,2020-03-09,1
20200225,TX,67.75,32.25,19.79,10.95,2.66,0.00,2020-02-25,2020-03-02,1
20200218,TX,59.37,40.63,23.84,12.73,2.66,0.00,2020-02-18,2020-02-24,1
20200211,TX,52.03,47.97,32.68,13.95,1.87,0.00,2020-02-11,2020-02-17,1
20200204,TX,46.59,53.41,33.07,12.66,0.81,0.00,2020-02-04,2020-02-10,1
20200128,TX,44.00,56.00,34.09,11.92,0.57,0.00,2020-01-28,2020-02-03,1
20200121,TX,42.69,57.31,34.52,14.12,0.79,0.00,2020-01-21,2020-01-27,1
20200114,TX,44.70,55.30,36.79,10.76,1.29,0.00,2020-01-14,2020-01-20,1
20200107,TX,42.97,57.03,37.79,11.87,1.34,0.00,2020-01-07,2020-01-13,1
20191231,TX,44.69,55.31,36.12,9.19,0.74,0.00,2019-12-31,2020-01-06,1
20191224,TX,44.13,55.87,38.62,9.46,0.67,0.00,2019-12-24,2019-12-30,1
20191217,TX,45.21,54.79,37.29,8.27,0.67,0.00,2019-12-17,2019-12-23,1
20191210,TX,45.58,54.42,34.88,8.06,0.67,0.00,2019-12-10,2019-12-16,1
20191203,TX,44.14,55.86,33.54,8.42,0.67,0.00,2019-12-03,2019-12-09,1
20191126,TX,45.51,54.49,32.37,9.98,0.53,0.00,2019-11-26,2019-12-02,1
20191119,TX,47.81,52.19,31.96,10.46,0.53,0.00,2019-11-19,2019-11-25,1
20191112,TX,46.76,53.24,31.97,11.04,0.56,0.00,2019-11-12,2019-11-18,1
20191105,TX,42.29,57.71,40.96,19.22,6.00,0.00,2019-11-05,2019-11-11,1
20191029,TX,38.98,61.02,46.55,22.40,4.65,0.00,2019-10-29,2019-11-04,1
20191022,TX,39.30,60.70,48.74,25.85,6.68,0.00,2019-10-22,2019-10-28,1
20191015,TX,38.24,61.76,50.39,26.33,9.37,0.00,2019-10-15,2019-10-21,1
20191008,TX,39.05,60.95,48.52,29.91,8.60,0.00,2019-10-08,2019-10-14,1
20191001,TX,31.74,68.26,46.05,22.33,6.32,0.00,2019-10-01,2019-10-07,1
20190924,TX,34.78,65.22,48.33,19.69,3.50,0.00,2019-09-24,2019-09-30,1
20190917,TX,27.74,72.26,51.75,21.20,3.07,0.00,2019-09-17,2019-09-23,1
20190910,TX,28.16,71.84,53.42,17.43,2.76,0.00,2019-09-10,2019-09-16,1
20190903,TX,33.59,66.41,42.90,10.26,1.73,0.00,2019-09-03,2019-09-09,1
