MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,VA,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,VA,98.19,1.81,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,VA,98.19,1.81,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,VA,98.19,1.81,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,VA,98.79,1.21,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,VA,98.79,1.21,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,VA,98.50,1.50,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,VA,99.26,0.74,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,VA,99.26,0.74,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,VA,99.36,0.64,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,VA,92.11,7.89,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,VA,69.44,30.56,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,VA,67.09,32.91,5.96,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,VA,63.55,36.45,5.96,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,VA,62.66,37.34,5.96,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,VA,20.21,79.79,20.54,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,VA,13.17,86.83,53.20,1.96,0.00,0.00,2019-10-22,2019-10-28,1
20191015,VA,0.06,99.94,86.05,16.34,0.00,0.00,2019-10-15,2019-10-21,1
20191008,VA,0.16,99.84,73.75,11.27,0.00,0.00,2019-10-08,2019-10-14,1
20191001,VA,3.51,96.49,59.24,11.27,0.00,0.00,2019-10-01,2019-10-07,1
20190924,VA,4.48,95.52,53.55,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,VA,21.12,78.88,5.22,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,VA,61.79,38.21,4.72,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,VA,80.20,19.80,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,VA,82.62,17.38,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,VA,83.35,16.65,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,VA,79.53,20.47,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,VA,99.87,0.13,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,VA,99.97,0.03,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,VA,99.97,0.03,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,VA,99.97,0.03,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,VA,99.95,0.05,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,VA,85.65,14.35,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,VA,85.66,14.34,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,VA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,VA,99.43,0.57,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,VA,99.99,0.01,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,VA,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,VA,95.74,4.26,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,VA,95.74,4.26,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,VA,72.32,27.68,6.01,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,VA,71.47,28.53,6.01,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,VA,71.47,28.53,6.01,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,VA,63.89,36.11,6.03,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,VA,61.31,38.69,6.03,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,VA,31.82,68.18,12.40,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,VA,45.43,54.57,9.00,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,VA,45.43,54.57,9.00,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,VA,40.29,59.71,10.68,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,VA,40.29,59.71,11.90,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,VA,40.29,59.71,12.31,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,VA,40.29,59.71,12.31,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,VA,40.29,59.71,12.31,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,VA,40.29,59.71,14.81,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,VA,9.65,90.35,48.24,2.89,0.00,0.00,2018-02-06,2018-02-12,1
20180130,VA,2.11,97.89,48.58,2.89,0.00,0.00,2018-01-30,2018-02-05,1
20180123,VA,4.32,95.68,51.85,1.76,0.00,0.00,2018-01-23,2018-01-29,1
20180116,VA,4.32,95.68,51.85,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,VA,0.10,99.90,51.85,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,VA,0.47,99.53,51.85,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,VA,2.60,97.40,42.86,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,VA,4.56,95.44,18.04,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,VA,5.39,94.61,16.46,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,VA,6.60,93.40,16.46,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,VA,55.88,44.12,3.94,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,VA,66.17,33.83,3.76,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,VA,66.17,33.83,3.76,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,VA,66.17,33.83,3.76,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,VA,58.54,41.46,3.75,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,VA,36.63,63.37,4.35,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,VA,22.84,77.16,4.35,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,VA,35.09,64.91,4.35,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,VA,57.65,42.35,0.00,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,VA,81.93,18.07,0.00,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,VA,94.88,5.12,0.00,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,VA,96.65,3.35,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,VA,96.65,3.35,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,VA,80.30,19.70,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,VA,77.55,22.45,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,VA,77.68,22.32,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,VA,70.83,29.17,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,VA,70.82,29.18,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,VA,67.64,32.36,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,VA,92.59,7.41,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,VA,98.92,1.08,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,VA,92.30,7.70,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,VA,99.12,0.88,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,VA,100.00,0.00,0.00,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,VA,100.00,0.00,0.00,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,VA,100.00,0.00,0.00,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,VA,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,VA,96.41,3.59,0.00,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,VA,96.41,3.59,0.00,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,VA,84.03,15.97,0.00,0.00,0.00,0.00,2017-05-09,2017-05-15,1
20170502,VA,67.91,32.09,15.88,0.00,0.00,0.00,2017-05-02,2017-05-08,1
20170425,VA,53.57,46.43,15.88,0.00,0.00,0.00,2017-04-25,2017-05-01,1
20170418,VA,38.92,61.08,40.63,0.00,0.00,0.00,2017-04-18,2017-04-24,1
20170411,VA,38.92,61.08,40.63,0.00,0.00,0.00,2017-04-11,2017-04-17,1
20170404,VA,38.92,61.08,40.63,0.00,0.00,0.00,2017-04-04,2017-04-10,1
20170328,VA,38.97,61.03,40.95,2.20,0.00,0.00,2017-03-28,2017-04-03,1
20170321,VA,41.46,58.54,40.95,2.20,0.00,0.00,2017-03-21,2017-03-27,1
20170314,VA,39.95,60.05,36.37,4.97,0.00,0.00,2017-03-14,2017-03-20,1
20170307,VA,19.46,80.54,17.12,2.88,0.00,0.00,2017-03-07,2017-03-13,1
20170228,VA,19.46,80.54,17.12,2.88,0.00,0.00,2017-02-28,2017-03-06,1
20170221,VA,43.77,56.23,12.46,0.00,0.00,0.00,2017-02-21,2017-02-27,1
20170214,VA,44.32,55.68,9.50,0.00,0.00,0.00,2017-02-14,2017-02-20,1
20170207,VA,69.97,30.03,0.49,0.00,0.00,0.00,2017-02-07,2017-02-13,1
20170131,VA,69.97,30.03,0.49,0.00,0.00,0.00,2017-01-31,2017-02-06,1
20170124,VA,69.97,30.03,0.49,0.00,0.00,0.00,2017-01-24,2017-01-30,1
20170117,VA,29.15,70.85,11.19,0.00,0.00,0.00,2017-01-17,2017-01-23,1
20170110,VA,29.15,70.85,15.39,0.00,0.00,0.00,2017-01-10,2017-01-16,1
20170103,VA,29.15,70.85,15.39,0.00,0.00,0.00,2017-01-03,2017-01-09,1
20161227,VA,23.86,76.14,19.33,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161220,VA,23.30,76.70,22.36,0.00,0.00,0.00,2016-12-20,2016-12-26,1
20161213,VA,31.30,68.70,22.92,0.00,0.00,0.00,2016-12-13,2016-12-19,1
20161206,VA,31.30,68.70,27.67,0.78,0.00,0.00,2016-12-06,2016-12-12,1
20161129,VA,30.95,69.05,28.39,4.82,0.87,0.00,2016-11-29,2016-12-05,1
20161122,VA,30.95,69.05,28.39,4.82,0.87,0.00,2016-11-22,2016-11-28,1
20161115,VA,33.07,66.93,22.34,1.30,0.10,0.00,2016-11-15,2016-11-21,1
20161108,VA,58.76,41.24,4.09,0.75,0.00,0.00,2016-11-08,2016-11-14,1
20161101,VA,71.13,28.87,3.40,0.00,0.00,0.00,2016-11-01,2016-11-07,1
20161025,VA,80.21,19.79,3.40,0.00,0.00,0.00,2016-10-25,2016-10-31,1
20161018,VA,86.52,13.48,3.40,0.00,0.00,0.00,2016-10-18,2016-10-24,1
20161011,VA,86.55,13.45,1.40,0.00,0.00,0.00,2016-10-11,2016-10-17,1
20161004,VA,86.55,13.45,0.23,0.00,0.00,0.00,2016-10-04,2016-10-10,1
20160927,VA,15.28,84.72,0.77,0.00,0.00,0.00,2016-09-27,2016-10-03,1
20160920,VA,40.75,59.25,0.00,0.00,0.00,0.00,2016-09-20,2016-09-26,1
20160913,VA,37.54,62.46,0.00,0.00,0.00,0.00,2016-09-13,2016-09-19,1
20160906,VA,79.24,20.76,0.00,0.00,0.00,0.00,2016-09-06,2016-09-12,1
20160830,VA,94.68,5.32,0.00,0.00,0.00,0.00,2016-08-30,2016-09-05,1
20160823,VA,94.68,5.32,0.00,0.00,0.00,0.00,2016-08-23,2016-08-29,1
20160816,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-08-16,2016-08-22,1
20160809,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-08-09,2016-08-15,1
20160802,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-08-02,2016-08-08,1
20160726,VA,94.50,5.50,0.00,0.00,0.00,0.00,2016-07-26,2016-08-01,1
20160719,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-07-19,2016-07-25,1
20160712,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18,1
20160705,VA,98.43,1.57,0.00,0.00,0.00,0.00,2016-07-05,2016-07-11,1
20160628,VA,97.16,2.84,0.00,0.00,0.00,0.00,2016-06-28,2016-07-04,1
20160621,VA,93.78,6.22,0.00,0.00,0.00,0.00,2016-06-21,2016-06-27,1
20160614,VA,97.88,2.12,0.00,0.00,0.00,0.00,2016-06-14,2016-06-20,1
20160607,VA,99.99,0.01,0.00,0.00,0.00,0.00,2016-06-07,2016-06-13,1
20160531,VA,97.55,2.45,0.00,0.00,0.00,0.00,2016-05-31,2016-06-06,1
20160524,VA,97.55,2.45,0.00,0.00,0.00,0.00,2016-05-24,2016-05-30,1
20160517,VA,92.66,7.34,0.09,0.00,0.00,0.00,2016-05-17,2016-05-23,1
20160510,VA,83.67,16.33,0.09,0.00,0.00,0.00,2016-05-10,2016-05-16,1
20160503,VA,33.91,66.09,3.67,0.00,0.00,0.00,2016-05-03,2016-05-09,1
20160426,VA,4.93,95.07,4.08,0.00,0.00,0.00,2016-04-26,2016-05-02,1
20160419,VA,28.33,71.67,0.00,0.00,0.00,0.00,2016-04-19,2016-04-25,1
20160412,VA,90.97,9.03,0.00,0.00,0.00,0.00,2016-04-12,2016-04-18,1
20160405,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-04-05,2016-04-11,1
20160329,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-29,2016-04-04,1
20160322,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-22,2016-03-28,1
20160315,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-15,2016-03-21,1
20160308,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-08,2016-03-14,1
20160301,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-01,2016-03-07,1
20160223,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-23,2016-02-29,1
20160216,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-16,2016-02-22,1
20160209,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-09,2016-02-15,1
20160202,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-02,2016-02-08,1
20160126,VA,100.00,0.00,0.00,0.00,0.00,0.00,2016-01-26,2016-02-01,1
20160119,VA,99.99,0.01,0.00,0.00,0.00,0.00,2016-01-19,2016-01-25,1
20160112,VA,99.99,0.01,0.00,0.00,0.00,0.00,2016-01-12,2016-01-18,1
20160105,VA,99.99,0.01,0.00,0.00,0.00,0.00,2016-01-05,2016-01-11,1
20151229,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-12-29,2016-01-04,1
20151222,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-12-22,2015-12-28,1
20151215,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-12-15,2015-12-21,1
20151208,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-12-08,2015-12-14,1
20151201,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-12-01,2015-12-07,1
20151124,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-11-24,2015-11-30,1
20151117,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-11-17,2015-11-23,1
20151110,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-11-10,2015-11-16,1
20151103,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-11-03,2015-11-09,1
20151027,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-10-27,2015-11-02,1
20151020,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-10-20,2015-10-26,1
20151013,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-10-13,2015-10-19,1
20151006,VA,99.99,0.01,0.00,0.00,0.00,0.00,2015-10-06,2015-10-12,1
20150929,VA,60.97,39.03,0.00,0.00,0.00,0.00,2015-09-29,2015-10-05,1
20150922,VA,19.72,80.28,0.00,0.00,0.00,0.00,2015-09-22,2015-09-28,1
20150915,VA,24.51,75.49,0.00,0.00,0.00,0.00,2015-09-15,2015-09-21,1
20150908,VA,41.19,58.81,0.00,0.00,0.00,0.00,2015-09-08,2015-09-14,1
20150901,VA,72.86,27.14,0.00,0.00,0.00,0.00,2015-09-01,2015-09-07,1
20150825,VA,92.64,7.36,0.00,0.00,0.00,0.00,2015-08-25,2015-08-31,1
20150818,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-08-18,2015-08-24,1
20150811,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-08-11,2015-08-17,1
20150804,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-08-04,2015-08-10,1
20150728,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-07-28,2015-08-03,1
20150721,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-07-21,2015-07-27,1
20150714,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-07-14,2015-07-20,1
20150707,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-07-07,2015-07-13,1
20150630,VA,87.51,12.49,0.00,0.00,0.00,0.00,2015-06-30,2015-07-06,1
20150623,VA,85.90,14.10,3.70,0.00,0.00,0.00,2015-06-23,2015-06-29,1
20150616,VA,82.14,17.86,3.67,0.00,0.00,0.00,2015-06-16,2015-06-22,1
20150609,VA,82.48,17.52,0.00,0.00,0.00,0.00,2015-06-09,2015-06-15,1
20150602,VA,64.22,35.78,0.00,0.00,0.00,0.00,2015-06-02,2015-06-08,1
20150526,VA,68.37,31.63,0.00,0.00,0.00,0.00,2015-05-26,2015-06-01,1
20150519,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-05-19,2015-05-25,1
20150512,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-05-12,2015-05-18,1
20150505,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-05-05,2015-05-11,1
20150428,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-04-28,2015-05-04,1
20150421,VA,100.00,0.00,0.00,0.00,0.00,0.00,2015-04-21,2015-04-27,1
20150414,VA,84.92,15.08,0.00,0.00,0.00,0.00,2015-04-14,2015-04-20,1
20150407,VA,84.92,15.08,0.00,0.00,0.00,0.00,2015-04-07,2015-04-13,1
20150331,VA,85.55,14.45,0.00,0.00,0.00,0.00,2015-03-31,2015-04-06,1
20150324,VA,80.11,19.89,0.00,0.00,0.00,0.00,2015-03-24,2015-03-30,1
20150317,VA,73.98,26.02,0.00,0.00,0.00,0.00,2015-03-17,2015-03-23,1
20150310,VA,73.98,26.02,0.00,0.00,0.00,0.00,2015-03-10,2015-03-16,1
20150303,VA,69.34,30.66,0.00,0.00,0.00,0.00,2015-03-03,2015-03-09,1
20150224,VA,69.34,30.66,0.00,0.00,0.00,0.00,2015-02-24,2015-03-02,1
20150217,VA,67.82,32.18,0.00,0.00,0.00,0.00,2015-02-17,2015-02-23,1
20150210,VA,67.82,32.18,0.00,0.00,0.00,0.00,2015-02-10,2015-02-16,1
20150203,VA,89.58,10.42,0.00,0.00,0.00,0.00,2015-02-03,2015-02-09,1
20150127,VA,89.58,10.42,0.00,0.00,0.00,0.00,2015-01-27,2015-02-02,1
20150120,VA,84.31,15.69,0.00,0.00,0.00,0.00,2015-01-20,2015-01-26,1
