MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,WY,26.08,73.92,1.94,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,WY,74.07,25.93,1.85,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,WY,74.07,25.93,1.85,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,WY,77.76,22.24,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,WY,82.74,17.26,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,WY,98.23,1.77,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,WY,98.23,1.77,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,WY,98.23,1.77,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,WY,98.23,1.77,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,WY,98.23,1.77,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,WY,98.72,1.28,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,WY,98.72,1.28,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,WY,98.72,1.28,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,WY,98.72,1.28,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,WY,98.72,1.28,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,WY,96.44,3.56,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,WY,92.62,7.38,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,WY,74.83,25.17,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,WY,73.86,26.14,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,WY,73.86,26.14,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,WY,77.96,22.04,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,WY,77.96,22.04,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,WY,75.13,24.87,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,WY,85.02,14.98,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,WY,85.02,14.98,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,WY,84.84,15.16,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,WY,84.97,15.03,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,WY,84.86,15.14,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,WY,84.90,15.10,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,WY,85.44,14.56,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,WY,85.32,14.68,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,WY,85.32,14.68,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,WY,79.93,20.07,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,WY,85.48,14.52,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,WY,85.48,14.52,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,WY,78.97,21.03,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,WY,78.97,21.03,0.00,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,WY,78.97,21.03,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,WY,77.27,22.73,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,WY,77.27,22.73,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
