MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,AR,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,AR,99.70,0.30,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,AR,94.30,5.70,0.34,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,AR,93.87,6.13,0.37,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,AR,92.68,7.32,1.46,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,AR,92.68,7.32,1.46,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,AR,85.36,14.64,4.96,0.31,0.00,0.00,2020-01-07,2020-01-13,1
20191231,AR,86.68,13.32,4.35,0.31,0.00,0.00,2019-12-31,2020-01-06,1
20191224,AR,86.68,13.32,4.46,0.08,0.00,0.00,2019-12-24,2019-12-30,1
20191217,AR,86.96,13.04,4.46,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,AR,89.10,10.90,1.60,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,AR,91.66,8.34,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,AR,93.10,6.90,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,AR,91.86,8.14,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,AR,94.67,5.33,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,AR,94.67,5.33,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,AR,89.30,10.70,2.53,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,AR,78.37,21.63,2.99,0.16,0.00,0.00,2019-10-22,2019-10-28,1
20191015,AR,66.68,33.32,9.13,0.16,0.00,0.00,2019-10-15,2019-10-21,1
20191008,AR,68.88,31.12,10.97,1.36,0.00,0.00,2019-10-08,2019-10-14,1
