MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,ID,50.72,49.28,19.97,2.37,0.00,0.00,2020-06-02,2020-06-08,1
20200526,ID,51.32,48.68,19.97,2.37,0.00,0.00,2020-05-26,2020-06-01,1
20200519,ID,46.57,53.43,19.27,1.99,0.00,0.00,2020-05-19,2020-05-25,1
20200512,ID,46.57,53.43,17.09,1.99,0.00,0.00,2020-05-12,2020-05-18,1
20200505,ID,55.07,44.93,17.04,1.99,0.00,0.00,2020-05-05,2020-05-11,1
20200428,ID,57.07,42.93,16.20,1.99,0.00,0.00,2020-04-28,2020-05-04,1
20200421,ID,59.79,40.21,16.20,1.99,0.00,0.00,2020-04-21,2020-04-27,1
20200414,ID,58.89,41.11,9.34,1.22,0.00,0.00,2020-04-14,2020-04-20,1
20200407,ID,65.44,34.56,8.88,1.22,0.00,0.00,2020-04-07,2020-04-13,1
20200331,ID,65.78,34.22,8.88,1.62,0.00,0.00,2020-03-31,2020-04-06,1
20200324,ID,65.78,34.22,8.88,1.62,0.00,0.00,2020-03-24,2020-03-30,1
20200317,ID,65.78,34.22,8.88,1.62,0.00,0.00,2020-03-17,2020-03-23,1
20200310,ID,65.78,34.22,8.88,1.62,0.00,0.00,2020-03-10,2020-03-16,1
20200303,ID,65.78,34.22,8.88,1.62,0.00,0.00,2020-03-03,2020-03-09,1
20200225,ID,65.99,34.01,8.88,1.62,0.00,0.00,2020-02-25,2020-03-02,1
20200218,ID,66.64,33.36,7.55,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,ID,66.63,33.37,7.76,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,ID,47.68,52.32,12.48,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,ID,44.88,55.12,18.13,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,ID,44.88,55.12,18.13,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,ID,38.72,61.28,16.06,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,ID,33.69,66.31,18.13,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,ID,35.67,64.33,10.68,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,ID,41.67,58.33,10.68,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,ID,41.67,58.33,11.63,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,ID,41.05,58.95,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,ID,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,ID,97.26,2.74,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,ID,97.26,2.74,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,ID,97.26,2.74,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,ID,95.38,4.62,2.72,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,ID,95.38,4.62,2.72,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,ID,93.41,6.59,4.63,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,ID,83.24,16.76,4.63,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,ID,83.24,16.76,4.65,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,ID,93.10,6.90,4.65,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,ID,93.10,6.90,4.65,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,ID,93.10,6.90,4.65,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,ID,83.80,16.20,4.87,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,ID,86.79,13.21,4.87,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,ID,86.79,13.21,4.87,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,ID,85.92,14.08,4.87,2.49,0.00,0.00,2019-07-16,2019-07-22,1
20190709,ID,85.92,14.08,4.80,2.49,0.00,0.00,2019-07-09,2019-07-15,1
20190702,ID,91.05,8.95,4.80,2.49,0.00,0.00,2019-07-02,2019-07-08,1
20190625,ID,93.58,6.42,4.80,2.49,0.00,0.00,2019-06-25,2019-07-01,1
20190618,ID,93.58,6.42,3.64,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,ID,93.58,6.42,3.61,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,ID,94.07,5.93,2.96,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,ID,94.07,5.93,2.96,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,ID,94.07,5.93,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,ID,94.07,5.93,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,ID,94.07,5.93,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,ID,94.08,5.92,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,ID,94.08,5.92,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,ID,93.65,6.35,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,ID,89.93,10.07,0.13,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,ID,84.80,15.20,0.13,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,ID,84.80,15.20,0.13,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,ID,84.86,15.14,0.62,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,ID,84.38,15.62,1.02,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,ID,35.99,64.01,7.81,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,ID,35.99,64.01,7.81,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,ID,22.82,77.18,37.38,0.40,0.00,0.00,2019-02-19,2019-02-25,1
20190212,ID,18.41,81.59,40.22,5.94,0.00,0.00,2019-02-12,2019-02-18,1
20190205,ID,18.41,81.59,39.17,5.94,0.00,0.00,2019-02-05,2019-02-11,1
20190129,ID,19.42,80.58,39.12,5.93,0.00,0.00,2019-01-29,2019-02-04,1
20190122,ID,19.42,80.58,23.70,10.46,0.00,0.00,2019-01-22,2019-01-28,1
20190115,ID,19.42,80.58,23.70,10.46,0.00,0.00,2019-01-15,2019-01-21,1
20190108,ID,33.28,66.72,23.58,10.46,0.00,0.00,2019-01-08,2019-01-14,1
20190101,ID,33.28,66.72,23.58,10.46,0.00,0.00,2019-01-01,2019-01-07,1
20181225,ID,34.29,65.71,25.59,10.46,0.00,0.00,2018-12-25,2018-12-31,1
20181218,ID,34.29,65.71,25.75,10.38,0.00,0.00,2018-12-18,2018-12-24,1
20181211,ID,34.29,65.71,25.75,10.38,0.00,0.00,2018-12-11,2018-12-17,1
20181204,ID,39.63,60.37,25.75,10.38,0.00,0.00,2018-12-04,2018-12-10,1
20181127,ID,39.63,60.37,25.75,10.38,0.00,0.00,2018-11-27,2018-12-03,1
20181120,ID,39.63,60.37,25.75,10.38,0.00,0.00,2018-11-20,2018-11-26,1
20181113,ID,39.63,60.37,25.78,10.38,0.00,0.00,2018-11-13,2018-11-19,1
20181106,ID,39.63,60.37,25.78,10.38,0.00,0.00,2018-11-06,2018-11-12,1
20181030,ID,31.09,68.91,32.39,10.38,0.00,0.00,2018-10-30,2018-11-05,1
20181023,ID,22.95,77.05,36.25,12.51,0.00,0.00,2018-10-23,2018-10-29,1
20181016,ID,22.95,77.05,36.25,12.51,0.00,0.00,2018-10-16,2018-10-22,1
20181009,ID,9.87,90.13,36.25,14.76,0.00,0.00,2018-10-09,2018-10-15,1
20181002,ID,0.49,99.51,36.25,13.61,0.00,0.00,2018-10-02,2018-10-08,1
20180925,ID,0.49,99.51,36.25,13.61,0.00,0.00,2018-09-25,2018-10-01,1
20180918,ID,0.49,99.51,36.25,6.77,0.00,0.00,2018-09-18,2018-09-24,1
20180911,ID,0.49,99.51,31.50,5.36,0.00,0.00,2018-09-11,2018-09-17,1
20180904,ID,0.49,99.51,30.77,2.83,0.00,0.00,2018-09-04,2018-09-10,1
20180828,ID,0.49,99.51,30.77,0.54,0.00,0.00,2018-08-28,2018-09-03,1
20180821,ID,0.00,100.00,30.77,0.09,0.00,0.00,2018-08-21,2018-08-27,1
20180814,ID,13.44,86.56,30.77,0.09,0.00,0.00,2018-08-14,2018-08-20,1
20180807,ID,34.02,65.98,19.05,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,ID,34.02,65.98,15.59,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,ID,56.57,43.43,5.67,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,ID,57.21,42.79,5.67,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,ID,66.61,33.39,5.67,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,ID,67.27,32.73,2.81,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,ID,67.39,32.61,2.81,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,ID,67.39,32.61,2.81,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,ID,72.71,27.29,2.81,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,ID,72.71,27.29,2.81,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,ID,72.71,27.29,2.81,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,ID,72.71,27.29,2.81,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,ID,72.58,27.42,2.81,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,ID,63.50,36.50,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,ID,64.17,35.83,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,ID,59.00,41.00,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,ID,59.00,41.00,0.00,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,ID,59.00,41.00,0.00,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,ID,59.00,41.00,0.00,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,ID,59.00,41.00,0.00,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,ID,55.73,44.27,1.12,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,ID,55.73,44.27,1.12,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,ID,55.73,44.27,1.12,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,ID,55.73,44.27,1.12,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,ID,59.98,40.02,1.12,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,ID,59.98,40.02,1.12,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,ID,60.37,39.63,1.12,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,ID,60.49,39.51,1.12,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,ID,95.43,4.57,1.12,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,ID,95.43,4.57,1.12,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,ID,98.85,1.15,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,ID,99.97,0.03,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,ID,99.97,0.03,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,ID,99.84,0.16,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,ID,99.87,0.13,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,ID,99.87,0.13,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,ID,99.87,0.13,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,ID,97.72,2.28,0.12,0.00,0.00,0.00,2017-11-21,2017-11-27,1
