MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,IL,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,IL,99.31,0.69,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,IL,86.91,13.09,0.64,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,IL,83.37,16.63,11.74,0.13,0.00,0.00,2019-10-15,2019-10-21,1
20191008,IL,78.58,21.42,10.73,0.13,0.00,0.00,2019-10-08,2019-10-14,1
20191001,IL,82.16,17.84,10.78,0.19,0.00,0.00,2019-10-01,2019-10-07,1
20190924,IL,70.80,29.20,6.31,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,IL,61.84,38.16,5.79,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,IL,66.94,33.06,11.71,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,IL,62.62,37.38,11.71,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,IL,63.65,36.35,7.63,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,IL,57.86,42.14,7.51,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,IL,55.81,44.19,6.06,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,IL,57.15,42.85,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,IL,81.86,18.14,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,IL,88.48,11.52,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,IL,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
