MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,IN,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,IN,96.36,3.64,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,IN,96.36,3.64,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,IN,91.25,8.75,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,IN,93.40,6.60,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,IN,57.20,42.80,6.48,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,IN,34.77,65.23,28.82,3.34,0.00,0.00,2019-10-22,2019-10-28,1
20191015,IN,34.77,65.23,32.59,4.98,0.00,0.00,2019-10-15,2019-10-21,1
20191008,IN,40.63,59.37,31.84,1.50,0.00,0.00,2019-10-08,2019-10-14,1
20191001,IN,36.88,63.12,27.19,4.65,0.00,0.00,2019-10-01,2019-10-07,1
20190924,IN,23.16,76.84,19.23,0.15,0.00,0.00,2019-09-24,2019-09-30,1
20190917,IN,54.57,45.43,14.15,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,IN,58.45,41.55,11.77,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,IN,59.91,40.09,4.77,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,IN,72.80,27.20,1.48,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,IN,45.71,54.29,4.36,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,IN,48.81,51.19,1.20,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,IN,66.24,33.76,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,IN,85.83,14.17,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,IN,88.80,11.20,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,IN,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,IN,83.77,16.23,0.00,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,IN,83.81,16.19,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,IN,81.34,18.66,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,IN,74.97,25.03,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,IN,83.67,16.33,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,IN,81.40,18.60,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,IN,81.40,18.60,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,IN,91.40,8.60,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,IN,99.18,0.82,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,IN,99.18,0.82,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,IN,95.97,4.03,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,IN,91.40,8.60,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,IN,91.40,8.60,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,IN,82.91,17.09,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,IN,95.25,4.75,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,IN,100.00,0.00,0.00,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,IN,81.16,18.84,0.00,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,IN,92.42,7.58,0.00,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,IN,94.25,5.75,0.00,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,IN,94.25,5.75,0.00,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,IN,94.25,5.75,0.00,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,IN,94.24,5.76,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,IN,94.24,5.76,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,IN,94.24,5.76,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,IN,93.05,6.95,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,IN,95.29,4.71,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,IN,95.29,4.71,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,IN,95.98,4.02,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,IN,95.98,4.02,0.00,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,IN,93.13,6.87,1.67,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,IN,92.97,7.03,1.67,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,IN,83.52,16.48,1.88,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,IN,75.40,24.60,4.60,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,IN,71.70,28.30,8.43,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,IN,61.63,38.37,8.43,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,IN,61.61,38.39,8.46,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,IN,61.95,38.05,8.46,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,IN,66.26,33.74,8.43,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,IN,74.21,25.79,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,IN,87.34,12.66,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,IN,87.34,12.66,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,IN,87.34,12.66,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,IN,89.51,10.49,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,IN,98.18,1.82,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,IN,98.18,1.82,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,IN,96.60,3.40,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,IN,96.36,3.64,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,IN,96.39,3.61,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,IN,96.76,3.24,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,IN,92.01,7.99,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,IN,92.01,7.99,0.00,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,IN,67.57,32.43,0.00,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-09,2017-05-15,1
20170502,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-05-02,2017-05-08,1
20170425,IN,89.56,10.44,0.00,0.00,0.00,0.00,2017-04-25,2017-05-01,1
20170418,IN,89.39,10.61,0.00,0.00,0.00,0.00,2017-04-18,2017-04-24,1
20170411,IN,89.39,10.61,0.00,0.00,0.00,0.00,2017-04-11,2017-04-17,1
20170404,IN,96.03,3.97,0.00,0.00,0.00,0.00,2017-04-04,2017-04-10,1
20170328,IN,96.03,3.97,0.00,0.00,0.00,0.00,2017-03-28,2017-04-03,1
20170321,IN,96.03,3.97,0.00,0.00,0.00,0.00,2017-03-21,2017-03-27,1
20170314,IN,96.03,3.97,0.00,0.00,0.00,0.00,2017-03-14,2017-03-20,1
20170307,IN,96.05,3.95,0.00,0.00,0.00,0.00,2017-03-07,2017-03-13,1
20170228,IN,47.55,52.45,0.00,0.00,0.00,0.00,2017-02-28,2017-03-06,1
20170221,IN,89.96,10.04,0.00,0.00,0.00,0.00,2017-02-21,2017-02-27,1
20170214,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-02-14,2017-02-20,1
20170207,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-02-07,2017-02-13,1
20170131,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-01-31,2017-02-06,1
20170124,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-01-24,2017-01-30,1
20170117,IN,100.00,0.00,0.00,0.00,0.00,0.00,2017-01-17,2017-01-23,1
20170110,IN,78.04,21.96,0.00,0.00,0.00,0.00,2017-01-10,2017-01-16,1
20170103,IN,76.19,23.81,0.00,0.00,0.00,0.00,2017-01-03,2017-01-09,1
20161227,IN,75.40,24.60,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161220,IN,53.38,46.62,6.08,0.00,0.00,0.00,2016-12-20,2016-12-26,1
20161213,IN,51.73,48.27,13.08,0.00,0.00,0.00,2016-12-13,2016-12-19,1
20161206,IN,51.61,48.39,14.09,2.43,0.00,0.00,2016-12-06,2016-12-12,1
20161129,IN,50.91,49.09,13.86,2.48,0.00,0.00,2016-11-29,2016-12-05,1
20161122,IN,47.62,52.38,17.20,2.48,0.00,0.00,2016-11-22,2016-11-28,1
20161115,IN,61.75,38.25,17.20,0.73,0.00,0.00,2016-11-15,2016-11-21,1
20161108,IN,79.64,20.36,12.94,0.00,0.00,0.00,2016-11-08,2016-11-14,1
20161101,IN,81.07,18.93,9.57,0.00,0.00,0.00,2016-11-01,2016-11-07,1
20161025,IN,85.86,14.14,0.00,0.00,0.00,0.00,2016-10-25,2016-10-31,1
20161018,IN,84.71,15.29,0.00,0.00,0.00,0.00,2016-10-18,2016-10-24,1
20161011,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-10-11,2016-10-17,1
20161004,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-10-04,2016-10-10,1
20160927,IN,85.21,14.79,0.00,0.00,0.00,0.00,2016-09-27,2016-10-03,1
20160920,IN,98.63,1.37,0.00,0.00,0.00,0.00,2016-09-20,2016-09-26,1
20160913,IN,97.89,2.11,0.00,0.00,0.00,0.00,2016-09-13,2016-09-19,1
20160906,IN,94.30,5.70,1.91,0.00,0.00,0.00,2016-09-06,2016-09-12,1
20160830,IN,94.30,5.70,1.91,0.00,0.00,0.00,2016-08-30,2016-09-05,1
20160823,IN,94.34,5.66,1.91,0.00,0.00,0.00,2016-08-23,2016-08-29,1
20160816,IN,93.68,6.32,2.65,0.00,0.00,0.00,2016-08-16,2016-08-22,1
20160809,IN,84.62,15.38,3.22,0.00,0.00,0.00,2016-08-09,2016-08-15,1
20160802,IN,86.13,13.87,0.09,0.00,0.00,0.00,2016-08-02,2016-08-08,1
20160726,IN,86.16,13.84,0.00,0.00,0.00,0.00,2016-07-26,2016-08-01,1
20160719,IN,75.66,24.34,0.00,0.00,0.00,0.00,2016-07-19,2016-07-25,1
20160712,IN,70.83,29.17,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18,1
20160705,IN,79.19,20.81,0.00,0.00,0.00,0.00,2016-07-05,2016-07-11,1
20160628,IN,81.32,18.68,0.00,0.00,0.00,0.00,2016-06-28,2016-07-04,1
20160621,IN,48.39,51.61,0.00,0.00,0.00,0.00,2016-06-21,2016-06-27,1
20160614,IN,21.30,78.70,0.00,0.00,0.00,0.00,2016-06-14,2016-06-20,1
20160607,IN,94.59,5.41,0.00,0.00,0.00,0.00,2016-06-07,2016-06-13,1
20160531,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-05-31,2016-06-06,1
20160524,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-05-24,2016-05-30,1
20160517,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-05-17,2016-05-23,1
20160510,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-05-10,2016-05-16,1
20160503,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-05-03,2016-05-09,1
20160426,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-04-26,2016-05-02,1
20160419,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-04-19,2016-04-25,1
20160412,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-04-12,2016-04-18,1
20160405,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-04-05,2016-04-11,1
20160329,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-29,2016-04-04,1
20160322,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-22,2016-03-28,1
20160315,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-15,2016-03-21,1
20160308,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-08,2016-03-14,1
20160301,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-03-01,2016-03-07,1
20160223,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-23,2016-02-29,1
20160216,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-16,2016-02-22,1
20160209,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-09,2016-02-15,1
20160202,IN,100.00,0.00,0.00,0.00,0.00,0.00,2016-02-02,2016-02-08,1
