MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,KS,49.84,50.16,27.46,11.63,2.60,0.00,2020-06-02,2020-06-08,1
20200526,KS,49.84,50.16,27.46,11.63,2.49,0.00,2020-05-26,2020-06-01,1
20200519,KS,47.75,52.25,27.46,11.65,2.49,0.00,2020-05-19,2020-05-25,1
20200512,KS,45.24,54.76,27.46,11.65,2.49,0.00,2020-05-12,2020-05-18,1
20200505,KS,48.43,51.57,12.70,4.13,0.44,0.00,2020-05-05,2020-05-11,1
20200428,KS,62.03,37.97,6.85,2.85,0.00,0.00,2020-04-28,2020-05-04,1
20200421,KS,77.02,22.98,6.85,2.85,0.00,0.00,2020-04-21,2020-04-27,1
20200414,KS,90.72,9.28,6.52,2.42,0.00,0.00,2020-04-14,2020-04-20,1
20200407,KS,90.93,9.07,6.13,2.41,0.00,0.00,2020-04-07,2020-04-13,1
20200331,KS,85.54,14.46,6.04,2.02,0.00,0.00,2020-03-31,2020-04-06,1
20200324,KS,85.54,14.46,6.03,2.02,0.00,0.00,2020-03-24,2020-03-30,1
20200317,KS,85.54,14.46,6.03,2.02,0.00,0.00,2020-03-17,2020-03-23,1
20200310,KS,85.54,14.46,6.03,2.02,0.00,0.00,2020-03-10,2020-03-16,1
20200303,KS,85.54,14.46,6.03,2.02,0.00,0.00,2020-03-03,2020-03-09,1
20200225,KS,85.54,14.46,6.03,2.02,0.00,0.00,2020-02-25,2020-03-02,1
20200218,KS,71.81,28.19,9.02,5.11,0.00,0.00,2020-02-18,2020-02-24,1
20200211,KS,69.70,30.30,9.96,5.11,0.00,0.00,2020-02-11,2020-02-17,1
20200204,KS,70.11,29.89,8.05,3.93,0.00,0.00,2020-02-04,2020-02-10,1
20200128,KS,67.58,32.42,8.68,3.93,0.00,0.00,2020-01-28,2020-02-03,1
20200121,KS,67.32,32.68,9.77,4.15,0.00,0.00,2020-01-21,2020-01-27,1
20200114,KS,67.20,32.80,9.89,4.22,0.00,0.00,2020-01-14,2020-01-20,1
20200107,KS,67.20,32.80,9.89,4.22,0.00,0.00,2020-01-07,2020-01-13,1
20191231,KS,67.13,32.87,9.89,4.22,0.00,0.00,2019-12-31,2020-01-06,1
20191224,KS,45.34,54.66,27.67,8.33,1.60,0.00,2019-12-24,2019-12-30,1
20191217,KS,45.34,54.66,27.67,8.33,1.60,0.00,2019-12-17,2019-12-23,1
20191210,KS,45.34,54.66,27.67,8.33,1.60,0.00,2019-12-10,2019-12-16,1
20191203,KS,51.64,48.36,18.22,5.53,1.60,0.00,2019-12-03,2019-12-09,1
20191126,KS,54.32,45.68,16.80,5.53,1.60,0.00,2019-11-26,2019-12-02,1
20191119,KS,55.56,44.44,10.90,4.56,1.60,0.00,2019-11-19,2019-11-25,1
20191112,KS,65.60,34.40,10.05,3.96,0.00,0.00,2019-11-12,2019-11-18,1
20191105,KS,68.43,31.57,8.96,3.56,0.00,0.00,2019-11-05,2019-11-11,1
20191029,KS,68.43,31.57,8.96,3.56,0.00,0.00,2019-10-29,2019-11-04,1
20191022,KS,68.43,31.57,8.96,3.56,0.00,0.00,2019-10-22,2019-10-28,1
20191015,KS,70.40,29.60,8.48,1.57,0.00,0.00,2019-10-15,2019-10-21,1
20191008,KS,81.26,18.74,4.91,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,KS,81.26,18.74,4.91,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,KS,81.26,18.74,4.91,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,KS,81.91,18.09,2.74,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,KS,84.77,15.23,1.90,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,KS,84.77,15.23,1.90,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,KS,78.36,21.64,2.60,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,KS,75.37,24.63,1.42,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,KS,75.52,24.48,1.42,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,KS,72.72,27.28,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,KS,83.54,16.46,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,KS,99.91,0.09,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,KS,99.85,0.15,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,KS,99.85,0.15,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,KS,95.03,4.97,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,KS,99.95,0.05,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,KS,99.95,0.05,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,KS,99.95,0.05,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,KS,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,KS,94.75,5.25,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,KS,95.86,4.14,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,KS,99.59,0.41,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,KS,99.39,0.61,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,KS,93.34,6.66,0.46,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,KS,93.48,6.52,0.46,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,KS,93.48,6.52,0.46,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,KS,91.64,8.36,1.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,KS,91.63,8.37,1.00,0.00,0.00,0.00,2018-10-30,2018-11-05,1
