MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,MD,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,MD,80.22,19.78,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,MD,80.22,19.78,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,MD,65.75,34.25,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,MD,94.03,5.97,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,MD,96.88,3.12,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,MD,96.88,3.12,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,MD,96.88,3.12,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,MD,96.88,3.12,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,MD,76.28,23.72,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,MD,76.24,23.76,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,MD,76.24,23.76,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,MD,74.92,25.08,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,MD,74.61,25.39,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,MD,70.60,29.40,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,MD,12.39,87.61,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,MD,6.23,93.77,69.23,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,MD,0.00,100.00,82.66,45.56,0.00,0.00,2019-10-15,2019-10-21,1
20191008,MD,0.00,100.00,82.76,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,MD,1.94,98.06,49.20,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,MD,2.17,97.83,32.77,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,MD,36.32,63.68,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,MD,80.36,19.64,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,MD,98.52,1.48,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,MD,98.52,1.48,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,MD,98.52,1.48,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,MD,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
