MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,MS,91.10,8.90,5.04,3.25,0.00,0.00,2020-06-02,2020-06-08,1
20200526,MS,91.10,8.90,4.39,3.25,0.00,0.00,2020-05-26,2020-06-01,1
20200519,MS,91.10,8.90,4.39,3.27,0.00,0.00,2020-05-19,2020-05-25,1
20200512,MS,89.99,10.01,5.18,2.63,0.00,0.00,2020-05-12,2020-05-18,1
20200505,MS,90.04,9.96,4.32,1.40,0.00,0.00,2020-05-05,2020-05-11,1
20200428,MS,90.80,9.20,4.19,1.40,0.00,0.00,2020-04-28,2020-05-04,1
20200421,MS,90.80,9.20,4.19,1.40,0.00,0.00,2020-04-21,2020-04-27,1
20200414,MS,83.87,16.13,4.19,1.40,0.00,0.00,2020-04-14,2020-04-20,1
20200407,MS,79.51,20.49,4.15,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,MS,86.13,13.87,2.51,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,MS,94.02,5.98,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,MS,94.20,5.80,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,MS,96.34,3.66,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,MS,99.04,0.96,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,MS,99.04,0.96,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,MS,98.85,1.15,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,MS,97.25,2.75,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,MS,92.93,7.07,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,MS,93.87,6.13,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,MS,96.96,3.04,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,MS,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,MS,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,MS,95.94,4.06,0.27,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,MS,95.94,4.06,0.64,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,MS,95.94,4.06,0.64,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,MS,95.10,4.90,0.27,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,MS,97.32,2.68,0.22,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,MS,98.54,1.46,0.22,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,MS,98.39,1.61,0.22,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,MS,98.39,1.61,0.22,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,MS,98.39,1.61,0.22,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,MS,94.59,5.41,0.57,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,MS,70.61,29.39,2.49,0.57,0.00,0.00,2019-10-22,2019-10-28,1
20191015,MS,17.89,82.11,6.21,0.57,0.00,0.00,2019-10-15,2019-10-21,1
20191008,MS,17.32,82.68,10.92,0.26,0.00,0.00,2019-10-08,2019-10-14,1
20191001,MS,2.22,97.78,9.03,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,MS,29.71,70.29,2.78,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,MS,65.48,34.52,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,MS,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,MS,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
