MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,NM,32.02,67.98,44.32,23.31,4.53,0.00,2020-06-02,2020-06-08,1
20200526,NM,32.47,67.53,37.62,23.07,4.44,0.00,2020-05-26,2020-06-01,1
20200519,NM,36.71,63.29,33.40,23.00,4.44,0.00,2020-05-19,2020-05-25,1
20200512,NM,53.19,46.81,28.91,16.82,0.49,0.00,2020-05-12,2020-05-18,1
20200505,NM,52.57,47.43,28.14,15.44,0.49,0.00,2020-05-05,2020-05-11,1
20200428,NM,56.24,43.76,26.22,13.43,0.00,0.00,2020-04-28,2020-05-04,1
20200421,NM,56.24,43.76,26.22,13.43,0.00,0.00,2020-04-21,2020-04-27,1
20200414,NM,56.73,43.27,24.41,11.87,0.00,0.00,2020-04-14,2020-04-20,1
20200407,NM,55.52,44.48,26.31,11.75,0.00,0.00,2020-04-07,2020-04-13,1
20200331,NM,55.74,44.26,26.25,11.40,0.00,0.00,2020-03-31,2020-04-06,1
20200324,NM,55.74,44.26,26.30,11.40,0.00,0.00,2020-03-24,2020-03-30,1
20200317,NM,55.74,44.26,26.30,11.40,0.00,0.00,2020-03-17,2020-03-23,1
20200310,NM,55.74,44.26,26.30,11.40,0.00,0.00,2020-03-10,2020-03-16,1
20200303,NM,44.24,55.76,28.52,11.40,0.00,0.00,2020-03-03,2020-03-09,1
20200225,NM,44.24,55.76,28.52,11.40,0.00,0.00,2020-02-25,2020-03-02,1
20200218,NM,43.62,56.38,28.62,11.80,0.00,0.00,2020-02-18,2020-02-24,1
20200211,NM,33.24,66.76,31.94,11.80,0.00,0.00,2020-02-11,2020-02-17,1
20200204,NM,29.53,70.47,31.90,11.80,0.00,0.00,2020-02-04,2020-02-10,1
20200128,NM,29.42,70.58,31.90,11.80,0.00,0.00,2020-01-28,2020-02-03,1
20200121,NM,29.30,70.70,31.98,12.75,0.00,0.00,2020-01-21,2020-01-27,1
20200114,NM,46.31,53.69,28.31,12.75,0.00,0.00,2020-01-14,2020-01-20,1
20200107,NM,50.16,49.84,28.31,12.75,0.00,0.00,2020-01-07,2020-01-13,1
20191231,NM,52.86,47.14,28.33,15.26,0.00,0.00,2019-12-31,2020-01-06,1
20191224,NM,52.86,47.14,28.33,15.26,0.00,0.00,2019-12-24,2019-12-30,1
20191217,NM,52.86,47.14,28.33,15.26,0.00,0.00,2019-12-17,2019-12-23,1
20191210,NM,52.86,47.14,28.33,15.62,0.00,0.00,2019-12-10,2019-12-16,1
20191203,NM,52.69,47.31,31.96,16.52,0.00,0.00,2019-12-03,2019-12-09,1
20191126,NM,27.02,72.98,45.07,17.57,0.00,0.00,2019-11-26,2019-12-02,1
20191119,NM,27.02,72.98,44.87,12.86,0.00,0.00,2019-11-19,2019-11-25,1
20191112,NM,27.02,72.98,44.14,9.93,0.00,0.00,2019-11-12,2019-11-18,1
20191105,NM,35.27,64.73,34.66,8.67,0.00,0.00,2019-11-05,2019-11-11,1
20191029,NM,35.27,64.73,34.66,8.67,0.00,0.00,2019-10-29,2019-11-04,1
20191022,NM,39.22,60.78,34.66,8.67,0.00,0.00,2019-10-22,2019-10-28,1
20191015,NM,45.42,54.58,18.07,7.58,0.00,0.00,2019-10-15,2019-10-21,1
20191008,NM,60.03,39.97,18.07,7.58,0.00,0.00,2019-10-08,2019-10-14,1
20191001,NM,37.27,62.73,29.82,6.81,0.00,0.00,2019-10-01,2019-10-07,1
20190924,NM,41.99,58.01,32.69,6.81,0.00,0.00,2019-09-24,2019-09-30,1
20190917,NM,41.82,58.18,33.26,6.81,0.00,0.00,2019-09-17,2019-09-23,1
20190910,NM,41.73,58.27,33.27,6.76,0.00,0.00,2019-09-10,2019-09-16,1
20190903,NM,42.78,57.22,29.82,2.90,0.00,0.00,2019-09-03,2019-09-09,1
20190827,NM,40.09,59.91,28.49,2.90,0.00,0.00,2019-08-27,2019-09-02,1
20190820,NM,50.77,49.23,18.72,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,NM,51.76,48.24,13.32,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,NM,67.24,32.76,13.32,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,NM,69.82,30.18,8.74,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,NM,69.82,30.18,8.74,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,NM,70.13,29.87,8.74,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,NM,70.14,29.86,8.74,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,NM,70.14,29.86,8.74,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,NM,70.14,29.86,8.74,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,NM,70.14,29.86,11.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,NM,70.14,29.86,11.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,NM,65.20,34.80,18.85,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,NM,64.63,35.37,18.85,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,NM,64.58,35.42,18.85,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,NM,59.87,40.13,22.98,0.90,0.00,0.00,2019-05-14,2019-05-20,1
20190507,NM,54.21,45.79,23.31,1.23,0.00,0.00,2019-05-07,2019-05-13,1
20190430,NM,54.18,45.82,23.31,6.75,0.00,0.00,2019-04-30,2019-05-06,1
20190423,NM,54.18,45.82,23.33,6.75,0.00,0.00,2019-04-23,2019-04-29,1
20190416,NM,46.45,53.55,38.74,16.06,0.00,0.00,2019-04-16,2019-04-22,1
20190409,NM,46.45,53.55,38.74,16.06,0.00,0.00,2019-04-09,2019-04-15,1
20190402,NM,46.45,53.55,38.74,16.06,0.00,0.00,2019-04-02,2019-04-08,1
20190326,NM,45.20,54.80,38.74,16.06,0.00,0.00,2019-03-26,2019-04-01,1
20190319,NM,36.33,63.67,38.99,26.33,8.10,0.00,2019-03-19,2019-03-25,1
20190312,NM,39.49,60.51,42.09,31.79,12.50,0.88,2019-03-12,2019-03-18,1
20190305,NM,38.67,61.33,42.69,31.96,12.50,0.88,2019-03-05,2019-03-11,1
20190226,NM,39.00,61.00,42.47,31.96,13.14,0.88,2019-02-26,2019-03-04,1
20190219,NM,38.81,61.19,43.01,32.77,14.98,1.51,2019-02-19,2019-02-25,1
20190212,NM,38.81,61.19,43.01,32.77,14.98,1.51,2019-02-12,2019-02-18,1
20190205,NM,44.71,55.29,43.01,32.77,14.98,1.50,2019-02-05,2019-02-11,1
20190129,NM,45.37,54.63,42.84,32.79,15.03,1.43,2019-01-29,2019-02-04,1
20190122,NM,45.37,54.63,42.79,32.79,15.03,1.43,2019-01-22,2019-01-28,1
20190115,NM,39.57,60.43,43.50,32.79,19.67,14.17,2019-01-15,2019-01-21,1
20190108,NM,39.57,60.43,44.65,33.28,19.67,14.17,2019-01-08,2019-01-14,1
20190101,NM,37.99,62.01,44.71,35.03,19.67,14.17,2019-01-01,2019-01-07,1
20181225,NM,25.64,74.36,45.46,35.92,19.89,14.50,2018-12-25,2018-12-31,1
20181218,NM,25.98,74.02,45.46,35.85,19.89,14.50,2018-12-18,2018-12-24,1
20181211,NM,25.98,74.02,45.46,35.85,20.67,15.05,2018-12-11,2018-12-17,1
20181204,NM,25.98,74.02,45.46,35.85,20.67,15.05,2018-12-04,2018-12-10,1
20181127,NM,25.98,74.02,45.46,35.85,20.67,15.05,2018-11-27,2018-12-03,1
20181120,NM,25.98,74.02,45.46,35.85,20.67,15.05,2018-11-20,2018-11-26,1
20181113,NM,7.94,92.06,60.30,38.44,22.08,15.05,2018-11-13,2018-11-19,1
20181106,NM,7.94,92.06,64.09,40.76,22.08,15.50,2018-11-06,2018-11-12,1
20181030,NM,6.87,93.13,64.30,44.43,22.08,15.50,2018-10-30,2018-11-05,1
20181023,NM,5.31,94.69,85.83,50.97,23.07,15.50,2018-10-23,2018-10-29,1
20181016,NM,4.75,95.25,86.61,53.11,23.07,15.50,2018-10-16,2018-10-22,1
