MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,OH,100.00,0.00,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,OH,74.11,25.89,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,OH,38.89,61.11,25.22,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,OH,36.38,63.62,26.05,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,OH,31.60,68.40,26.05,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,OH,28.52,71.48,18.22,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,OH,19.41,80.59,12.37,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,OH,34.22,65.78,8.85,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,OH,81.69,18.31,5.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,OH,89.63,10.37,1.87,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,OH,89.63,10.37,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,OH,86.74,13.26,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,OH,86.81,13.19,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,OH,94.33,5.67,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,OH,90.10,9.90,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,OH,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
