MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,UT,9.44,90.56,80.73,29.05,0.00,0.00,2020-06-02,2020-06-08,1
20200526,UT,9.44,90.56,80.73,15.08,0.00,0.00,2020-05-26,2020-06-01,1
20200519,UT,9.44,90.56,80.73,8.47,0.00,0.00,2020-05-19,2020-05-25,1
20200512,UT,9.45,90.55,60.66,4.61,0.00,0.00,2020-05-12,2020-05-18,1
20200505,UT,13.53,86.47,60.66,4.61,0.00,0.00,2020-05-05,2020-05-11,1
20200428,UT,25.09,74.91,48.76,4.61,0.00,0.00,2020-04-28,2020-05-04,1
20200421,UT,22.15,77.85,48.76,4.61,0.00,0.00,2020-04-21,2020-04-27,1
20200414,UT,22.15,77.85,46.54,2.19,0.00,0.00,2020-04-14,2020-04-20,1
20200407,UT,22.15,77.85,46.54,1.25,0.00,0.00,2020-04-07,2020-04-13,1
20200331,UT,22.15,77.85,44.52,1.25,0.00,0.00,2020-03-31,2020-04-06,1
20200324,UT,19.06,80.94,44.41,1.25,0.00,0.00,2020-03-24,2020-03-30,1
20200317,UT,18.95,81.05,51.98,1.25,0.00,0.00,2020-03-17,2020-03-23,1
20200310,UT,23.46,76.54,58.62,1.33,0.00,0.00,2020-03-10,2020-03-16,1
20200303,UT,21.43,78.57,58.62,1.33,0.00,0.00,2020-03-03,2020-03-09,1
20200225,UT,29.81,70.19,53.83,1.33,0.00,0.00,2020-02-25,2020-03-02,1
20200218,UT,29.77,70.23,55.38,1.33,0.00,0.00,2020-02-18,2020-02-24,1
20200211,UT,29.77,70.23,55.38,1.33,0.00,0.00,2020-02-11,2020-02-17,1
20200204,UT,25.76,74.24,55.72,2.38,0.00,0.00,2020-02-04,2020-02-10,1
20200128,UT,25.76,74.24,55.72,2.38,0.00,0.00,2020-01-28,2020-02-03,1
20200121,UT,17.19,82.81,55.72,14.75,0.00,0.00,2020-01-21,2020-01-27,1
20200114,UT,17.19,82.81,55.72,14.75,0.00,0.00,2020-01-14,2020-01-20,1
20200107,UT,17.19,82.81,55.72,14.75,0.00,0.00,2020-01-07,2020-01-13,1
20191231,UT,17.19,82.81,55.72,30.47,0.00,0.00,2019-12-31,2020-01-06,1
20191224,UT,16.07,83.93,57.55,31.23,0.00,0.00,2019-12-24,2019-12-30,1
20191217,UT,16.07,83.93,57.55,31.23,0.00,0.00,2019-12-17,2019-12-23,1
20191210,UT,15.92,84.08,59.02,31.23,0.00,0.00,2019-12-10,2019-12-16,1
20191203,UT,15.50,84.50,62.03,31.90,0.00,0.00,2019-12-03,2019-12-09,1
20191126,UT,15.39,84.61,64.47,42.59,2.03,0.00,2019-11-26,2019-12-02,1
20191119,UT,17.80,82.20,64.47,42.59,2.03,0.00,2019-11-19,2019-11-25,1
20191112,UT,18.20,81.80,63.87,42.53,0.00,0.00,2019-11-12,2019-11-18,1
20191105,UT,18.22,81.78,62.40,37.62,0.00,0.00,2019-11-05,2019-11-11,1
20191029,UT,18.22,81.78,62.40,37.62,0.00,0.00,2019-10-29,2019-11-04,1
20191022,UT,18.22,81.78,62.40,37.62,0.00,0.00,2019-10-22,2019-10-28,1
20191015,UT,28.03,71.97,40.73,17.28,0.00,0.00,2019-10-15,2019-10-21,1
20191008,UT,28.03,71.97,40.73,12.51,0.00,0.00,2019-10-08,2019-10-14,1
20191001,UT,45.82,54.18,29.59,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,UT,45.82,54.18,16.33,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,UT,45.82,54.18,12.78,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,UT,21.81,78.19,12.78,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,UT,21.81,78.19,4.35,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,UT,81.74,18.26,1.09,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,UT,82.01,17.99,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,UT,82.06,17.94,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,UT,85.51,14.49,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,UT,85.51,14.49,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,UT,87.23,12.77,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,UT,99.97,0.03,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,UT,99.97,0.03,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,UT,99.97,0.03,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,UT,99.97,0.03,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,UT,99.97,0.03,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,UT,99.92,0.08,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,UT,99.47,0.53,0.01,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,UT,99.47,0.53,0.01,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,UT,99.45,0.55,0.01,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,UT,97.86,2.14,0.44,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,UT,97.55,2.45,0.44,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,UT,97.55,2.45,0.44,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,UT,95.34,4.66,1.31,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,UT,81.91,18.09,1.49,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,UT,63.36,36.64,3.23,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,UT,62.94,37.06,3.24,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,UT,62.94,37.06,3.24,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,UT,12.54,87.46,8.93,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,UT,7.06,92.94,10.80,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,UT,2.43,97.57,64.56,1.54,0.00,0.00,2019-03-05,2019-03-11,1
20190226,UT,2.43,97.57,64.41,3.98,0.00,0.00,2019-02-26,2019-03-04,1
20190219,UT,0.00,100.00,93.49,16.75,0.64,0.00,2019-02-19,2019-02-25,1
20190212,UT,0.00,100.00,93.80,19.73,1.79,0.00,2019-02-12,2019-02-18,1
20190205,UT,0.00,100.00,96.10,20.95,1.79,0.00,2019-02-05,2019-02-11,1
20190129,UT,0.00,100.00,96.10,20.95,1.79,0.00,2019-01-29,2019-02-04,1
20190122,UT,0.00,100.00,96.12,37.16,1.79,0.00,2019-01-22,2019-01-28,1
20190115,UT,0.00,100.00,100.00,73.31,5.38,1.80,2019-01-15,2019-01-21,1
20190108,UT,0.00,100.00,99.96,73.31,5.38,1.80,2019-01-08,2019-01-14,1
20190101,UT,0.00,100.00,99.96,73.31,7.70,1.80,2019-01-01,2019-01-07,1
20181225,UT,0.00,100.00,99.96,73.31,7.70,1.80,2018-12-25,2018-12-31,1
20181218,UT,0.00,100.00,99.96,73.33,7.70,1.80,2018-12-18,2018-12-24,1
20181211,UT,0.00,100.00,99.96,73.33,7.70,1.80,2018-12-11,2018-12-17,1
20181204,UT,0.00,100.00,99.96,73.33,8.44,1.83,2018-12-04,2018-12-10,1
20181127,UT,0.00,100.00,99.96,76.10,17.79,3.01,2018-11-27,2018-12-03,1
20181120,UT,0.00,100.00,99.96,76.10,17.79,3.01,2018-11-20,2018-11-26,1
20181113,UT,0.00,100.00,99.96,76.10,17.79,3.01,2018-11-13,2018-11-19,1
20181106,UT,0.00,100.00,99.96,76.10,17.79,3.01,2018-11-06,2018-11-12,1
20181030,UT,0.00,100.00,99.96,76.10,26.84,3.01,2018-10-30,2018-11-05,1
20181023,UT,0.00,100.00,99.96,76.13,26.84,3.01,2018-10-23,2018-10-29,1
20181016,UT,0.00,100.00,99.96,76.13,26.84,3.01,2018-10-16,2018-10-22,1
20181009,UT,0.00,100.00,99.96,76.33,27.13,3.01,2018-10-09,2018-10-15,1
20181002,UT,0.00,100.00,99.96,87.58,46.68,7.24,2018-10-02,2018-10-08,1
20180925,UT,0.00,100.00,99.96,87.58,46.68,7.24,2018-09-25,2018-10-01,1
20180918,UT,0.00,100.00,99.96,74.69,38.61,7.24,2018-09-18,2018-09-24,1
20180911,UT,0.00,100.00,99.96,74.69,37.33,7.24,2018-09-11,2018-09-17,1
20180904,UT,0.00,100.00,99.96,73.48,37.33,7.24,2018-09-04,2018-09-10,1
20180828,UT,0.00,100.00,99.96,69.89,37.33,7.24,2018-08-28,2018-09-03,1
20180821,UT,0.00,100.00,99.96,74.18,37.33,7.24,2018-08-21,2018-08-27,1
20180814,UT,0.00,100.00,99.96,74.18,37.33,7.24,2018-08-14,2018-08-20,1
20180807,UT,0.00,100.00,99.72,74.18,37.33,7.24,2018-08-07,2018-08-13,1
20180731,UT,0.00,100.00,99.72,69.93,42.20,7.24,2018-07-31,2018-08-06,1
20180724,UT,0.00,100.00,92.66,61.01,42.20,7.24,2018-07-24,2018-07-30,1
20180717,UT,0.00,100.00,92.61,61.01,42.20,7.24,2018-07-17,2018-07-23,1
20180710,UT,0.00,100.00,92.57,61.01,42.20,7.24,2018-07-10,2018-07-16,1
20180703,UT,0.00,100.00,92.65,60.95,29.79,7.24,2018-07-03,2018-07-09,1
20180626,UT,0.00,100.00,92.65,60.95,29.79,7.24,2018-06-26,2018-07-02,1
20180619,UT,0.00,100.00,92.65,59.75,27.75,4.02,2018-06-19,2018-06-25,1
20180612,UT,0.00,100.00,92.65,59.75,27.75,4.02,2018-06-12,2018-06-18,1
20180605,UT,0.00,100.00,92.67,59.75,27.75,4.02,2018-06-05,2018-06-11,1
20180529,UT,0.00,100.00,92.67,59.75,27.75,4.02,2018-05-29,2018-06-04,1
20180522,UT,0.00,100.00,92.67,59.75,27.75,4.02,2018-05-22,2018-05-28,1
20180515,UT,0.00,100.00,90.52,58.29,27.81,4.02,2018-05-15,2018-05-21,1
20180508,UT,0.00,100.00,90.43,58.29,27.81,4.02,2018-05-08,2018-05-14,1
20180501,UT,0.00,100.00,90.43,58.46,27.80,3.74,2018-05-01,2018-05-07,1
20180424,UT,0.00,100.00,90.43,58.46,27.80,3.74,2018-04-24,2018-04-30,1
20180417,UT,0.00,100.00,91.14,59.11,26.96,3.74,2018-04-17,2018-04-23,1
20180410,UT,0.00,100.00,91.14,59.11,26.96,2.89,2018-04-10,2018-04-16,1
