MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,CONUS,64.11,15.99,12.18,6.44,1.28,0.00,2020-06-02,2020-06-08,2
20200526,CONUS,65.65,15.83,11.34,5.94,1.24,0.00,2020-05-26,2020-06-01,2
20200519,CONUS,64.46,16.64,11.59,6.00,1.30,0.00,2020-05-19,2020-05-25,2
20200512,CONUS,65.69,16.89,10.32,5.89,1.21,0.00,2020-05-12,2020-05-18,2
20200505,CONUS,69.22,14.69,9.82,5.29,0.97,0.00,2020-05-05,2020-05-11,2
20200428,CONUS,71.30,13.95,9.10,5.19,0.46,0.00,2020-04-28,2020-05-04,2
20200421,CONUS,73.08,12.23,9.05,5.16,0.49,0.00,2020-04-21,2020-04-27,2
20200414,CONUS,74.42,11.06,10.18,4.18,0.15,0.01,2020-04-14,2020-04-20,2
20200407,CONUS,74.48,10.65,12.03,2.62,0.21,0.01,2020-04-07,2020-04-13,2
20200331,CONUS,74.79,10.67,11.50,2.56,0.45,0.03,2020-03-31,2020-04-06,2
20200324,CONUS,74.94,13.22,9.01,2.44,0.36,0.03,2020-03-24,2020-03-30,2
20200317,CONUS,75.09,12.32,9.70,2.29,0.59,0.03,2020-03-17,2020-03-23,2
20200310,CONUS,75.71,11.43,10.26,2.08,0.52,0.00,2020-03-10,2020-03-16,2
20200303,CONUS,76.21,12.27,9.01,1.99,0.52,0.00,2020-03-03,2020-03-09,2
20200225,CONUS,76.98,12.86,7.92,2.01,0.23,0.00,2020-02-25,2020-03-02,2
20200218,CONUS,76.49,13.95,7.06,2.26,0.23,0.00,2020-02-18,2020-02-24,2
20200211,CONUS,75.85,13.55,8.03,2.41,0.17,0.00,2020-02-11,2020-02-17,2
20200204,CONUS,74.30,15.09,8.15,2.38,0.07,0.00,2020-02-04,2020-02-10,2
20200128,CONUS,73.32,15.68,8.61,2.34,0.05,0.00,2020-01-28,2020-02-03,2
20200121,CONUS,75.13,13.40,8.08,3.31,0.07,0.00,2020-01-21,2020-01-27,2
20200114,CONUS,76.70,12.57,7.61,3.00,0.11,0.00,2020-01-14,2020-01-20,2
20200107,CONUS,75.94,12.86,7.97,3.10,0.12,0.00,2020-01-07,2020-01-13,2
20191231,CONUS,75.80,13.00,7.37,3.76,0.06,0.00,2019-12-31,2020-01-06,2
20191224,CONUS,74.37,13.33,8.12,4.08,0.10,0.00,2019-12-24,2019-12-30,2
20191217,CONUS,72.94,14.42,8.57,3.97,0.10,0.00,2019-12-17,2019-12-23,2
20191210,CONUS,72.04,16.85,6.66,4.34,0.10,0.00,2019-12-10,2019-12-16,2
20191203,CONUS,68.17,20.18,7.06,4.49,0.10,0.00,2019-12-03,2019-12-09,2
20191126,CONUS,67.06,18.84,8.38,5.54,0.19,0.00,2019-11-26,2019-12-02,2
20191119,CONUS,70.31,15.28,8.63,5.59,0.19,0.00,2019-11-19,2019-11-25,2
20191112,CONUS,70.09,15.25,8.78,5.83,0.05,0.00,2019-11-12,2019-11-18,2
20191105,CONUS,72.05,12.29,9.36,5.77,0.53,0.00,2019-11-05,2019-11-11,2
20191029,CONUS,66.24,15.90,10.47,6.87,0.51,0.00,2019-10-29,2019-11-04,2
20191022,CONUS,62.69,16.30,12.50,7.59,0.92,0.00,2019-10-22,2019-10-28,2
20191015,CONUS,60.21,18.59,12.04,7.68,1.48,0.00,2019-10-15,2019-10-21,2
20191008,CONUS,63.19,16.41,12.82,6.37,1.20,0.00,2019-10-08,2019-10-14,2
20191001,CONUS,60.59,20.13,13.34,5.16,0.79,0.00,2019-10-01,2019-10-07,2
20190924,CONUS,60.99,21.64,13.45,3.60,0.31,0.00,2019-09-24,2019-09-30,2
20190917,CONUS,65.81,20.13,10.55,3.20,0.32,0.00,2019-09-17,2019-09-23,2
20190910,CONUS,68.97,17.45,10.77,2.50,0.31,0.00,2019-09-10,2019-09-16,2
20190903,CONUS,70.46,19.50,8.58,1.27,0.20,0.00,2019-09-03,2019-09-09,2
20190827,CONUS,72.16,18.77,7.64,1.26,0.17,0.00,2019-08-27,2019-09-02,2
20190820,CONUS,73.60,19.11,6.05,1.18,0.05,0.00,2019-08-20,2019-08-26,2
20190813,CONUS,75.82,17.98,5.31,0.87,0.02,0.00,2019-08-13,2019-08-19,2
20190806,CONUS,81.03,14.60,3.83,0.55,0.00,0.00,2019-08-06,2019-08-12,2
20190730,CONUS,86.35,10.18,3.05,0.42,0.00,0.00,2019-07-30,2019-08-05,2
20190723,CONUS,89.15,7.81,2.60,0.45,0.00,0.00,2019-07-23,2019-07-29,2
20190716,CONUS,90.21,6.70,2.46,0.62,0.00,0.00,2019-07-16,2019-07-22,2
20190709,CONUS,89.17,7.60,2.59,0.63,0.00,0.00,2019-07-09,2019-07-15,2
20190702,CONUS,90.04,6.74,2.63,0.59,0.00,0.00,2019-07-02,2019-07-08,2
20190625,CONUS,89.90,6.81,2.65,0.65,0.00,0.00,2019-06-25,2019-07-01,2
20190618,CONUS,89.27,6.64,3.50,0.59,0.00,0.00,2019-06-18,2019-06-24,2
20190611,CONUS,89.42,6.46,3.81,0.31,0.00,0.00,2019-06-11,2019-06-17,2
20190604,CONUS,87.08,7.64,4.77,0.51,0.00,0.00,2019-06-04,2019-06-10,2
