MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,CONUS,64.11,35.89,19.9,7.72,1.28,0,6/2/2020,6/8/2020,1
20200526,CONUS,65.65,34.35,18.51,7.18,1.24,0,5/26/2020,6/1/2020,1
20200519,CONUS,64.46,35.54,18.9,7.31,1.3,0,5/19/2020,5/25/2020,1
20200512,CONUS,65.69,34.31,17.42,7.1,1.21,0,5/12/2020,5/18/2020,1
20200505,CONUS,69.22,30.78,16.09,6.27,0.97,0,5/5/2020,5/11/2020,1
20200428,CONUS,71.3,28.7,14.75,5.65,0.46,0,4/28/2020,5/4/2020,1
20200421,CONUS,73.08,26.92,14.69,5.65,0.49,0,4/21/2020,4/27/2020,1
20200414,CONUS,74.42,25.58,14.53,4.34,0.16,0.01,4/14/2020,4/20/2020,1
20200407,CONUS,74.48,25.52,14.88,2.85,0.22,0.01,4/7/2020,4/13/2020,1
20200331,CONUS,74.79,25.21,14.54,3.04,0.48,0.03,3/31/2020,4/6/2020,1
20200324,CONUS,74.94,25.06,11.84,2.83,0.39,0.03,3/24/2020,3/30/2020,1
20200317,CONUS,75.09,24.91,12.6,2.9,0.61,0.03,3/17/2020,3/23/2020,1
20200310,CONUS,75.71,24.29,12.86,2.6,0.52,0,3/10/2020,3/16/2020,1
20200303,CONUS,76.21,23.79,11.52,2.51,0.52,0,3/3/2020,3/9/2020,1
20200225,CONUS,76.98,23.02,10.16,2.25,0.23,0,2/25/2020,3/2/2020,1
20200218,CONUS,76.49,23.51,9.56,2.49,0.23,0,2/18/2020,2/24/2020,1
20200211,CONUS,75.85,24.15,10.6,2.57,0.17,0,2/11/2020,2/17/2020,1
20200204,CONUS,74.3,25.7,10.61,2.46,0.07,0,2/4/2020,2/10/2020,1
20200128,CONUS,73.32,26.68,11,2.39,0.05,0,1/28/2020,2/3/2020,1
20200121,CONUS,75.13,24.87,11.47,3.38,0.07,0,1/21/2020,1/27/2020,1
20200114,CONUS,76.7,23.3,10.73,3.12,0.11,0,1/14/2020,1/20/2020,1
20200107,CONUS,75.94,24.06,11.19,3.22,0.12,0,1/7/2020,1/13/2020,1
20191231,CONUS,75.8,24.2,11.2,3.82,0.06,0,12/31/2019,1/6/2020,1
20191224,CONUS,74.37,25.63,12.3,4.18,0.1,0,12/24/2019,12/30/2019,1
20191217,CONUS,72.94,27.06,12.64,4.07,0.1,0,12/17/2019,12/23/2019,1
20191210,CONUS,72.04,27.96,11.11,4.45,0.1,0,12/10/2019,12/16/2019,1
20191203,CONUS,68.17,31.83,11.65,4.59,0.1,0,12/3/2019,12/9/2019,1
20191126,CONUS,67.06,32.94,14.1,5.72,0.19,0,11/26/2019,12/2/2019,1
20191119,CONUS,70.31,29.69,14.41,5.77,0.19,0,11/19/2019,11/25/2019,1
20191112,CONUS,70.09,29.91,14.67,5.88,0.05,0,11/12/2019,11/18/2019,1
20191105,CONUS,72.05,27.95,15.66,6.3,0.53,0,11/5/2019,11/11/2019,1
20191029,CONUS,66.24,33.76,17.86,7.38,0.51,0,10/29/2019,11/4/2019,1
20191022,CONUS,62.69,37.31,21.01,8.51,0.92,0,10/22/2019,10/28/2019,1
20191015,CONUS,60.21,39.79,21.19,9.16,1.48,0,10/15/2019,10/21/2019,1
20191008,CONUS,63.19,36.81,20.39,7.57,1.2,0,10/8/2019,10/14/2019,1
20191001,CONUS,60.59,39.41,19.28,5.95,0.79,0,10/1/2019,10/7/2019,1
20190924,CONUS,60.99,39.01,17.37,3.92,0.31,0,9/24/2019,9/30/2019,1
20190917,CONUS,65.81,34.19,14.06,3.52,0.32,0,9/17/2019,9/23/2019,1
20190910,CONUS,68.97,31.03,13.57,2.81,0.31,0,9/10/2019,9/16/2019,1
20190903,CONUS,70.46,29.54,10.04,1.47,0.2,0,9/3/2019,9/9/2019,1
20190827,CONUS,72.16,27.84,9.07,1.43,0.17,0,8/27/2019,9/2/2019,1
20190820,CONUS,73.6,26.4,7.28,1.23,0.05,0,8/20/2019,8/26/2019,1
20190813,CONUS,75.82,24.18,6.2,0.89,0.02,0,8/13/2019,8/19/2019,1
20190806,CONUS,81.03,18.97,4.38,0.55,0,0,8/6/2019,8/12/2019,1
20190730,CONUS,86.35,13.65,3.47,0.42,0,0,7/30/2019,8/5/2019,1
20190723,CONUS,89.15,10.85,3.04,0.45,0,0,7/23/2019,7/29/2019,1
20190716,CONUS,90.21,9.79,3.09,0.62,0,0,7/16/2019,7/22/2019,1
20190709,CONUS,89.17,10.83,3.23,0.63,0,0,7/9/2019,7/15/2019,1
20190702,CONUS,90.04,9.96,3.22,0.59,0,0,7/2/2019,7/8/2019,1
20190625,CONUS,89.9,10.1,3.3,0.65,0,0,6/25/2019,7/1/2019,1
20190618,CONUS,89.27,10.73,4.09,0.59,0,0,6/18/2019,6/24/2019,1
20190611,CONUS,89.42,10.58,4.12,0.31,0,0,6/11/2019,6/17/2019,1
20190604,CONUS,87.08,12.92,5.28,0.51,0,0,6/4/2019,6/10/2019,1
